,city,type,county,state,lat,lng
188,Imperial,City,Imperial,california,32.8475528,-115.5694391
189,Imperial Beach,City,San Diego,california,32.5839444,-117.1130849
190,Indian Wells,City,Riverside,california,33.717631,-116.3407549
191,Indio,City,Riverside,california,33.7205771,-116.2155619
192,Industry,City,Los Angeles,california,34.0197335,-117.9586754
193,Inglewood,City,Los Angeles,california,33.9616801,-118.3531311
194,Ione,City,Amador,california,38.3526912,-120.9327177
195,Irvine,City,Orange,california,33.6845673,-117.8265049
196,Irwindale,City,Los Angeles,california,34.1069527,-117.9353413
197,Isleton,City,Sacramento,california,38.1618614,-121.6116206
198,Jackson,City,Amador,california,38.3488023,-120.7741018
199,Jurupa Valley,City,Riverside,california,33.9971974,-117.4854802
200,Kerman,City,Fresno,california,36.72355719999999,-120.059879
201,King City,City,Monterey,california,36.2127439,-121.1260287
202,Kingsburg,City,Fresno,california,36.5138398,-119.5540175
203,La Ca̱ada Flintridge,City,Los Angeles,california,34.2068182,-118.2000277
204,La Habra,City,Orange,california,33.9318591,-117.946137
205,La Habra Heights,City,Los Angeles,california,33.9608461,-117.9506186
206,La Mesa,City,San Diego,california,32.7678287,-117.0230839
207,La Mirada,City,Los Angeles,california,33.9172357,-118.0120086
208,La Palma,City,Orange,california,33.8463218,-118.0461393
209,La Puente,City,Los Angeles,california,34.0200114,-117.9495083
210,La Quinta,City,Riverside,california,33.6633573,-116.3100095
211,La Verne,City,Los Angeles,california,34.1008426,-117.7678355
212,Lafayette,City,Contra Costa,california,37.8857582,-122.1180201
213,Laguna Beach,City,Orange,california,33.5427189,-117.7853568
214,Laguna Hills,City,Orange,california,33.5916433,-117.6986604
215,Laguna Niguel,City,Orange,california,33.5236744,-117.7149438
216,Laguna Woods,City,Orange,california,33.6101702,-117.7251162
217,Lake Elsinore,City,Riverside,california,33.6680772,-117.3272615
218,Lake Forest,City,Orange,california,33.6469437,-117.6861023
219,Lakeport,City,Lake,california,39.0429506,-122.9158293
220,Lakewood,City,Los Angeles,california,33.8536269,-118.1339563
221,Lancaster,City,Los Angeles,california,34.6867846,-118.1541632
222,Larkspur,City,Marin,california,37.9340915,-122.5352539
223,Lathrop,City,San Joaquin,california,37.8227046,-121.27661
224,Lawndale,City,Los Angeles,california,33.887237,-118.3525744
225,Lemon Grove,City,San Diego,california,32.7425516,-117.0314172
226,Lemoore,City,Kings,california,36.3007835,-119.7829107
227,Lincoln,City,Placer,california,38.891565,-121.2930079
228,Lindsay,City,Tulare,california,36.2030064,-119.08816
229,Live Oak,City,Sutter,california,39.2757232,-121.6599701
230,Livermore,City,Alameda,california,37.6818745,-121.7680088
231,Livingston,City,Merced,california,37.3868826,-120.7235329
232,Lodi,City,San Joaquin,california,38.1341477,-121.2722194
233,Loma Linda,City,San Bernardino,california,34.0483474,-117.2611527
234,Lomita,City,Los Angeles,california,33.7922392,-118.3150722
