,city,type,county,state,lat,lng,rain
383,San Rafael,City,Marin,california,37.9735346,-122.5310874,0.51
384,San Ramon,City,Contra Costa,california,37.7799273,-121.9780153,1.05
385,Sand City,City,Monterey,california,36.6171819,-121.8482855,0.38
386,Sanger,City,Fresno,california,36.708006,-119.5559652,0.0
387,Santa Ana,City,Orange,california,33.7454725,-117.867653,0.0
388,Santa Barbara,City,Santa Barbara,california,34.4208305,-119.69819009999999,0.0
389,Santa Clara,City,Santa Clara,california,37.354107899999995,-121.9552356,1.02
390,Santa Clarita,City,Los Angeles,california,34.3916641,-118.54258600000001,0.0
391,Santa Cruz,City,Santa Cruz,california,36.9741171,-122.0307963,0.89
392,Santa Fe Springs,City,Los Angeles,california,33.9472359,-118.08534509999998,0.0
393,Santa Maria,City,Santa Barbara,california,34.953033700000006,-120.43571909999999,0.0
394,Santa Monica,City,Los Angeles,california,34.01945429999999,-118.4911912,0.0
395,Santa Paula,City,Ventura,california,34.3541659,-119.05927050000001,0.0
396,Santa Rosa,City,Sonoma,california,38.440428999999995,-122.7140548,0.0
397,Santee,City,San Diego,california,32.8383828,-116.97391670000002,0.0
398,Saratoga,City,Santa Clara,california,37.2638324,-122.0230146,1.02
399,Sausalito,City,Marin,california,37.8590937,-122.4852507,1.17
400,Scotts Valley,City,Santa Cruz,california,37.051059499999994,-122.0146841,0.76
401,Seal Beach,City,Orange,california,33.7414085,-118.10476820000001,0.0
402,Seaside,City,Monterey,california,36.614921700000004,-121.822098,0.38
403,Sebastopol,City,Sonoma,california,38.4021359,-122.82388059999998,0.0
404,Selma,City,Fresno,california,36.5707838,-119.61207649999999,0.0
405,Shafter,City,Kern,california,35.500513899999994,-119.2717761,0.0
406,Shasta Lake,City,Shasta,california,40.6804279,-122.3708419,0.0
407,Sierra Madre,City,Los Angeles,california,34.1616729,-118.0528456,0.0
408,Signal Hill,City,Los Angeles,california,33.8044614,-118.1678456,0.0
409,Simi Valley,City,Ventura,california,34.2694474,-118.78148200000001,0.0
410,Solana Beach,City,San Diego,california,32.991155,-117.27114809999999,0.0
411,Soledad,City,Monterey,california,36.424687,-121.32631869999999,0.51
412,Solvang,City,Santa Barbara,california,34.5958201,-120.13764809999999,0.0
413,Sonoma,City,Sonoma,california,38.291859,-122.45803559999999,0.25
414,Sonora,City,Tuolumne,california,37.982949600000005,-120.38217240000002,4.32
415,South El Monte,City,Los Angeles,california,34.0519548,-118.04673390000002,0.0
416,South Gate,City,Los Angeles,california,33.954737,-118.21201609999999,0.0
417,South Lake Tahoe,City,El Dorado,california,38.939926,-119.9771868,0.25
418,South Pasadena,City,Los Angeles,california,34.1161196,-118.15034879999999,0.0
419,South San Francisco,City,San Mateo,california,37.654656,-122.40774979999999,1.14
420,Stanton,City,Orange,california,33.8028875,-117.9931203,0.0
421,Stockton,City,San Joaquin,california,37.9577016,-121.29077959999998,2.46
422,Suisun City,City,Solano,california,38.2382474,-122.040244,1.01
423,Sunnyvale,City,Santa Clara,california,37.368829999999996,-122.03634960000001,1.02
424,Susanville,City,Lassen,california,40.4162842,-120.6530063,0.0
425,Sutter Creek,City,Amador,california,38.3929675,-120.8024357,0.51
426,Taft,City,Kern,california,35.142467100000005,-119.4565078,0.0
427,Tehachapi,City,Kern,california,35.1321877,-118.44897390000001,0.0
428,Tehama,City,Tehama,california,40.0271015,-122.12332279999998,0.0
429,Temecula,City,Riverside,california,33.4936391,-117.14836480000001,0.0
430,Temple City,City,Los Angeles,california,34.1072305,-118.05784560000001,0.0
431,Thousand Oaks,City,Ventura,california,34.1705609,-118.83759369999999,0.0
432,Tiburon,Town,Marin,california,37.87353770000001,-122.4566392,1.17
433,Torrance,City,Los Angeles,california,33.835849200000006,-118.34062879999999,0.0
434,Tracy,City,San Joaquin,california,37.7396513,-121.42522269999999,1.52
435,Trinidad,City,Humboldt,california,41.05929099999999,-124.14312460000001,0.0
436,Truckee,Town,Nevada,california,39.327962,-120.1832533,0.25
437,Tulare,City,Tulare,california,36.20772879999999,-119.3473379,0.0
438,Tulelake,City,Siskiyou,california,41.955988399999995,-121.4774916,0.0
439,Turlock,City,Stanislaus,california,37.494656799999994,-120.84659409999999,2.42
440,Tustin,City,Orange,california,33.7420005,-117.82363909999998,0.0
441,Twentynine Palms,City,San Bernardino,california,34.135558200000006,-116.05416890000001,0.0
442,Ukiah,City,Mendocino,california,39.1501709,-123.2077831,0.0
443,Union City,City,Alameda,california,37.59339179999999,-122.0438298,1.14
444,Upland,City,San Bernardino,california,34.09751,-117.64838759999999,0.0
445,Vacaville,City,Solano,california,38.3565773,-121.98774440000001,0.0
446,Vallejo,City,Solano,california,38.1040864,-122.25663670000002,0.51
447,Ventura,City,Ventura,california,34.28049229999999,-119.2945199,0.0
448,Vernon,City,Los Angeles,california,34.003903,-118.230073,0.0
449,Victorville,City,San Bernardino,california,34.5362184,-117.29276409999999,0.0
450,Villa Park,City,Orange,california,33.81400620000001,-117.8220723,0.0
451,Visalia,City,Tulare,california,36.330228399999996,-119.2920585,0.0
452,Vista,City,San Diego,california,33.2000368,-117.2425355,0.0
453,Walnut,City,Los Angeles,california,34.020289399999996,-117.86533859999999,0.0
454,Walnut Creek,City,Contra Costa,california,37.9100783,-122.06518190000001,1.14
455,Wasco,City,Kern,california,35.5941238,-119.34094569999999,0.0
456,Waterford,City,Stanislaus,california,37.6413202,-120.7604834,2.42
457,Watsonville,City,Santa Cruz,california,36.910231,-121.7568946,0.89
458,Weed,City,Siskiyou,california,41.42264979999999,-122.38612690000001,0.0
459,West Covina,City,Los Angeles,california,34.0686208,-117.93895259999998,0.0
460,West Hollywood,City,Los Angeles,california,34.0900091,-118.3617443,0.0
461,West Sacramento,City,Yolo,california,38.5804609,-121.53023400000001,0.0
462,Westlake Village,City,Los Angeles,california,34.1466467,-118.8073729,0.0
463,Westminster,City,Orange,california,33.75917570000001,-117.9897058,0.0
464,Westmorland,City,Imperial,california,33.0372674,-115.6213817,0.0
465,Wheatland,City,Yuba,california,39.0098946,-121.4230133,0.0
466,Whittier,City,Los Angeles,california,33.97917929999999,-118.032844,0.0
467,Wildomar,City,Riverside,california,33.5989126,-117.2800372,0.0
468,Williams,City,Colusa,california,39.154613700000006,-122.1494187,0.0
469,Willits,City,Mendocino,california,39.4096079,-123.35556559999999,0.0
470,Willows,City,Glenn,california,39.5243265,-122.19359309999999,0.0
471,Windsor,Town,Sonoma,california,38.547132700000006,-122.81638020000001,0.0
472,Winters,City,Yolo,california,38.5249065,-121.9708017,0.0
473,Woodlake,City,Tulare,california,36.413560499999996,-119.0987176,0.0
474,Woodland,City,Yolo,california,38.67851570000001,-121.7732971,0.0
475,Woodside,Town,San Mateo,california,37.429938799999995,-122.2538557,1.02
476,Yorba Linda,City,Orange,california,33.88850350000001,-117.8132571,0.0
477,Yountville,Town,Napa,california,38.40157809999999,-122.3608105,0.0
478,Yreka,City,Siskiyou,california,41.735418599999996,-122.6344709,0.0
479,Yuba City,City,Sutter,california,39.1404477,-121.6169108,0.0
480,Yucaipa,City,San Bernardino,california,34.033625,-117.0430865,0.0
481,Yucca Valley,Town,San Bernardino,california,34.114174299999995,-116.432235,0.0
