,city,type,county,state,lat,lng,rain
88,Compton,City,Los Angeles,california,33.8958492,-118.2200712,0.0
89,Concord,City,Contra Costa,california,37.9779776,-122.0310733,1.02
90,Corcoran,City,Kings,california,36.098007,-119.56040149999998,0.0
91,Corning,City,Tehama,california,39.927657200000006,-122.17915559999999,0.0
92,Corona,City,Riverside,california,33.8752935,-117.56643840000001,0.0
93,Coronado,City,San Diego,california,32.6858853,-117.18308909999999,0.0
94,Corte Madera,Town,Marin,california,37.92548060000001,-122.5274755,0.44
95,Costa Mesa,City,Orange,california,33.6412156,-117.91882209999999,0.0
96,Cotati,City,Sonoma,california,38.3293416,-122.70966659999999,0.0
97,Covina,City,Los Angeles,california,34.0900091,-117.89033970000001,0.0
98,Crescent City,City,Del Norte,california,41.7557501,-124.2025913,0.0
99,Cudahy,City,Los Angeles,california,33.9605701,-118.1853486,0.0
100,Culver City,City,Los Angeles,california,34.021122399999996,-118.3964665,0.0
101,Cupertino,City,Santa Clara,california,37.322997799999996,-122.03218229999999,0.92
102,Cypress,City,Orange,california,33.816936600000005,-118.0368507,0.0
103,Daly City,City,San Mateo,california,37.687924100000004,-122.47020790000002,1.02
104,Dana Point,City,Orange,california,33.4672256,-117.6981014,0.0
105,Danville,Town,Contra Costa,california,37.8215929,-121.9999606,1.02
106,Davis,City,Yolo,california,38.5449065,-121.74051670000001,0.0
107,Del Mar,City,San Diego,california,32.9594891,-117.2653146,0.0
108,Del Rey Oaks,City,Monterey,california,36.5932934,-121.83495149999999,0.38
109,Delano,City,Kern,california,35.7688425,-119.24705359999999,0.0
110,Desert Hot Springs,City,Riverside,california,33.961124,-116.5016784,0.0
111,Diamond Bar,City,Los Angeles,california,34.028622600000006,-117.81033670000001,0.0
112,Dinuba,City,Tulare,california,36.5432837,-119.3870656,0.0
113,Dixon,City,Solano,california,38.4454641,-121.82329579999998,0.0
114,Dorris,City,Siskiyou,california,41.9673696,-121.91806000000001,0.0
115,Dos Palos,City,Merced,california,36.9860582,-120.62657220000001,0.0
116,Downey,City,Los Angeles,california,33.9401088,-118.13315929999999,0.0
117,Duarte,City,Los Angeles,california,34.1394513,-117.97728729999999,0.0
118,Dublin,City,Alameda,california,37.7021521,-121.9357918,1.02
119,Dunsmuir,City,Siskiyou,california,41.208208899999995,-122.27195290000002,0.0
120,East Palo Alto,City,San Mateo,california,37.4688273,-122.1410751,0.92
121,Eastvale,City,Riverside,california,33.952463,-117.5848025,0.0
122,El Cajon,City,San Diego,california,32.7947731,-116.96252690000001,0.0
123,El Centro,City,Imperial,california,32.792,-115.56305139999999,0.0
124,El Cerrito,City,Contra Costa,california,37.9161326,-122.31076499999999,1.02
125,El Monte,City,Los Angeles,california,34.0686206,-118.02756670000001,0.0
126,El Segundo,City,Los Angeles,california,33.9191799,-118.4164652,0.0
127,Elk Grove,City,Sacramento,california,38.4087993,-121.37161780000001,1.02
128,Emeryville,City,Alameda,california,37.831315999999994,-122.2852473,1.02
129,Encinitas,City,San Diego,california,33.0369867,-117.2919818,0.0
130,Escalon,City,San Joaquin,california,37.797427299999995,-120.9966033,2.42
131,Escondido,City,San Diego,california,33.1192068,-117.086421,0.0
132,Etna,City,Siskiyou,california,41.4568065,-122.8947551,0.0
133,Eureka,City,Humboldt,california,40.80207120000001,-124.16367290000001,0.0
134,Exeter,City,Tulare,california,36.2960613,-119.1420517,0.0
135,Fairfax,Town,Marin,california,37.987145399999996,-122.5888686,0.44
136,Fairfield,City,Solano,california,38.24935809999999,-122.03996629999999,1.01
137,Farmersville,City,Tulare,california,36.2977283,-119.2067767,0.0
138,Ferndale,City,Humboldt,california,40.5762406,-124.26394409999999,0.0
139,Fillmore,City,Ventura,california,34.3991639,-118.918154,0.0
140,Firebaugh,City,Fresno,california,36.8588376,-120.45600719999999,0.0
141,Folsom,City,Sacramento,california,38.6779591,-121.17605829999998,0.0
142,Fontana,City,San Bernardino,california,34.0922335,-117.435048,0.0
143,Fort Bragg,City,Mendocino,california,39.445723,-123.8052935,0.25
144,Fort Jones,City,Siskiyou,california,41.6076387,-122.84030990000002,0.0
145,Fortuna,City,Humboldt,california,40.5981867,-124.1572756,0.0
146,Foster City,City,San Mateo,california,37.558546500000006,-122.2710788,1.02
147,Fountain Valley,City,Orange,california,33.7090212,-117.95440690000001,0.0
148,Fowler,City,Fresno,california,36.630505799999995,-119.6784697,0.0
149,Fremont,City,Alameda,california,37.548269700000006,-121.98857190000001,1.02
150,Fresno,City,Fresno,california,36.737798100000006,-119.78712469999999,0.0
151,Fullerton,City,Orange,california,33.8703645,-117.9242123,0.0
152,Galt,City,Sacramento,california,38.2546373,-121.29994850000001,1.02
153,Garden Grove,City,Orange,california,33.774269200000006,-117.9379952,0.0
154,Gardena,City,Los Angeles,california,33.8883487,-118.30896240000001,0.0
155,Gilroy,City,Santa Clara,california,37.0057816,-121.5682751,0.89
156,Glendale,City,Los Angeles,california,34.1425078,-118.255075,0.0
157,Glendora,City,Los Angeles,california,34.136118700000004,-117.86533899999999,0.0
158,Goleta,City,Santa Barbara,california,34.4358294,-119.8276389,0.0
159,Gonzales,City,Monterey,california,36.506629499999995,-121.44438059999999,0.38
160,Grand Terrace,City,San Bernardino,california,34.0339031,-117.3136544,0.0
161,Grass Valley,City,Nevada,california,39.219060799999994,-121.06106059999999,0.0
162,Greenfield,City,Monterey,california,36.320799799999996,-121.2438138,0.51
163,Gridley,City,Butte,california,39.363777299999995,-121.69358329999999,0.0
164,Grover Beach,City,San Luis Obispo,california,35.1216424,-120.6212821,0.0
165,Guadalupe,City,Santa Barbara,california,34.971644,-120.57183629999999,0.0
166,Gustine,City,Merced,california,37.2577171,-120.99881540000001,4.32
167,Half Moon Bay,City,San Mateo,california,37.4635519,-122.4285862,1.02
168,Hanford,City,Kings,california,36.3274502,-119.64568440000001,0.0
169,Hawaiian Gardens,City,Los Angeles,california,33.8314045,-118.07284240000001,0.0
170,Hawthorne,City,Los Angeles,california,33.9164032,-118.35257479999999,0.0
171,Hayward,City,Alameda,california,37.6688205,-122.08079640000001,1.02
172,Healdsburg,City,Sonoma,california,38.6104658,-122.86916090000001,0.25
173,Hemet,City,Riverside,california,33.7475203,-116.97196840000001,0.0
174,Hercules,City,Contra Costa,california,38.017144099999996,-122.28858079999999,0.44
175,Hermosa Beach,City,Los Angeles,california,33.8622366,-118.39951940000002,0.0
176,Hesperia,City,San Bernardino,california,34.4263886,-117.3008784,0.0
177,Hidden Hills,City,Los Angeles,california,34.16028319999999,-118.6523096,0.0
178,Highland,City,San Bernardino,california,34.1283442,-117.2086513,0.0
179,Hillsborough,Town,San Mateo,california,37.5741032,-122.37941629999999,1.14
180,Hollister,City,San Benito,california,36.8524545,-121.40160209999999,0.38
181,Holtville,City,Imperial,california,32.811161199999994,-115.3802643,0.0
182,Hughson,City,Stanislaus,california,37.6027244,-120.8664811,2.42
183,Huntington Beach,City,Orange,california,33.6594835,-117.99880259999999,0.0
184,Huntington Park,City,Los Angeles,california,33.981681200000004,-118.22507250000001,0.0
185,Huron,City,Fresno,california,36.2027308,-120.10291770000002,0.0
186,Imperial,City,Imperial,california,32.8475528,-115.56943909999998,0.0
187,Imperial Beach,City,San Diego,california,32.58394439999999,-117.11308490000002,0.0
188,Indian Wells,City,Riverside,california,33.717631,-116.34075490000001,0.0
189,Indio,City,Riverside,california,33.7205771,-116.2155619,0.0
190,Industry,City,Los Angeles,california,34.0197335,-117.95867539999999,0.0
191,Inglewood,City,Los Angeles,california,33.9616801,-118.3531311,0.0
192,Ione,City,Amador,california,38.3526912,-120.93271770000001,0.51
193,Irvine,City,Orange,california,33.6845673,-117.82650490000002,0.0
194,Irwindale,City,Los Angeles,california,34.1069527,-117.93534129999999,0.0
195,Isleton,City,Sacramento,california,38.1618614,-121.6116206,1.53
196,Jackson,City,Amador,california,38.348802299999996,-120.7741018,0.51
197,Jurupa Valley,City,Riverside,california,33.9971974,-117.48548020000001,0.0
198,Kerman,City,Fresno,california,36.72355719999999,-120.05987900000001,0.0
199,King City,City,Monterey,california,36.2127439,-121.1260287,0.51
200,Kingsburg,City,Fresno,california,36.5138398,-119.5540175,0.0
201,La Ca̱ada Flintridge,City,Los Angeles,california,34.2068182,-118.2000277,0.0
202,La Habra,City,Orange,california,33.931859100000004,-117.94613700000001,0.0
203,La Habra Heights,City,Los Angeles,california,33.9608461,-117.9506186,0.0
204,La Mesa,City,San Diego,california,32.7678287,-117.02308390000002,0.0
205,La Mirada,City,Los Angeles,california,33.9172357,-118.01200859999999,0.0
206,La Palma,City,Orange,california,33.8463218,-118.0461393,0.0
207,La Puente,City,Los Angeles,california,34.0200114,-117.94950829999999,0.0
208,La Quinta,City,Riverside,california,33.663357299999994,-116.31000949999999,0.0
209,La Verne,City,Los Angeles,california,34.10084260000001,-117.7678355,0.0
210,Lafayette,City,Contra Costa,california,37.885758200000005,-122.1180201,1.02
211,Laguna Beach,City,Orange,california,33.542718900000004,-117.7853568,0.0
212,Laguna Hills,City,Orange,california,33.591643299999994,-117.69866040000001,0.0
213,Laguna Niguel,City,Orange,california,33.5236744,-117.71494380000001,0.0
214,Laguna Woods,City,Orange,california,33.610170200000006,-117.7251162,0.0
215,Lake Elsinore,City,Riverside,california,33.668077200000006,-117.3272615,0.0
216,Lake Forest,City,Orange,california,33.6469437,-117.6861023,0.0
217,Lakeport,City,Lake,california,39.0429506,-122.91582930000001,0.25
218,Lakewood,City,Los Angeles,california,33.853626899999995,-118.13395630000001,0.0
219,Lancaster,City,Los Angeles,california,34.6867846,-118.1541632,0.0
220,Larkspur,City,Marin,california,37.9340915,-122.53525390000001,0.51
221,Lathrop,City,San Joaquin,california,37.8227046,-121.27661,2.46
222,Lawndale,City,Los Angeles,california,33.887237,-118.3525744,0.0
223,Lemon Grove,City,San Diego,california,32.7425516,-117.0314172,0.0
224,Lemoore,City,Kings,california,36.3007835,-119.7829107,0.0
225,Lincoln,City,Placer,california,38.891565,-121.29300790000002,0.0
226,Lindsay,City,Tulare,california,36.2030064,-119.08816000000002,0.0
227,Live Oak,City,Sutter,california,39.2757232,-121.6599701,0.0
228,Livermore,City,Alameda,california,37.6818745,-121.7680088,1.02
229,Livingston,City,Merced,california,37.3868826,-120.72353290000001,4.32
230,Lodi,City,San Joaquin,california,38.1341477,-121.27221940000001,2.46
231,Loma Linda,City,San Bernardino,california,34.0483474,-117.2611527,0.0
232,Lomita,City,Los Angeles,california,33.792239200000004,-118.3150722,0.0
233,Lompoc,City,Santa Barbara,california,34.6391501,-120.4579409,0.0
234,Long Beach,City,Los Angeles,california,33.770050399999995,-118.1937395,0.0
235,Loomis,Town,Placer,california,38.8212889,-121.1930041,0.0
236,Los Alamitos,City,Orange,california,33.80320089999999,-118.0718894,0.0
237,Los Altos,City,Santa Clara,california,37.3852183,-122.1141298,1.02
238,Los Altos Hills,Town,Santa Clara,california,37.379662700000004,-122.13746370000001,1.02
239,Los Angeles,City,Los Angeles,california,34.0522342,-118.24368490000002,0.0
240,Los Banos,City,Merced,california,37.0582786,-120.84991509999999,4.32
241,Los Gatos,Town,Santa Clara,california,37.235807799999996,-121.96237509999999,0.92
242,Loyalton,City,Sierra,california,39.67629360000001,-120.2410385,0.25
243,Lynwood,City,Los Angeles,california,33.930293,-118.21146029999998,0.0
244,Madera,City,Madera,california,36.961335600000005,-120.0607176,0.0
245,Malibu,City,Los Angeles,california,34.025921600000004,-118.7797571,0.0
246,Mammoth Lakes,Town,Mono,california,37.648546,-118.97207900000001,0.0
247,Manhattan Beach,City,Los Angeles,california,33.884736100000005,-118.41090890000001,0.0
248,Manteca,City,San Joaquin,california,37.797427299999995,-121.21605259999998,2.46
249,Maricopa,City,Kern,california,35.058858,-119.40095090000001,0.0
250,Marina,City,Monterey,california,36.68440289999999,-121.802173,0.38
251,Martinez,City,Contra Costa,california,38.0193657,-122.1341321,1.17
252,Marysville,City,Yuba,california,39.145725299999995,-121.5913547,0.0
253,Maywood,City,Los Angeles,california,33.9866807,-118.185349,0.0
254,McFarland,City,Kern,california,35.6780104,-119.22927479999998,0.0
255,Mendota,City,Fresno,california,36.753561100000006,-120.3815574,0.0
256,Menifee,City,Riverside,california,33.6971468,-117.185294,0.0
257,Menlo Park,City,San Mateo,california,37.4529598,-122.1817252,0.92
258,Merced,City,Merced,california,37.3021632,-120.48296770000002,4.32
259,Mill Valley,City,Marin,california,37.906036799999995,-122.5449763,1.17
260,Millbrae,City,San Mateo,california,37.5985468,-122.38719420000001,1.02
261,Milpitas,City,Santa Clara,california,37.4323341,-121.8995741,1.02
262,Mission Viejo,City,Orange,california,33.596891299999996,-117.6581562,0.0
263,Modesto,City,Stanislaus,california,37.63909719999999,-120.99687820000001,2.42
264,Monrovia,City,Los Angeles,california,34.14426160000001,-118.0019482,0.0
265,Montague,City,Siskiyou,california,41.7281985,-122.5278007,0.0
266,Montclair,City,San Bernardino,california,34.0775104,-117.68977759999999,0.0
267,Monte Sereno,City,Santa Clara,california,37.23633299999999,-121.99245800000001,1.02
268,Montebello,City,Los Angeles,california,34.0165053,-118.11375349999999,0.0
269,Monterey,City,Monterey,california,36.600237799999995,-121.8946761,0.38
270,Monterey Park,City,Los Angeles,california,34.0625106,-118.1228476,0.0
271,Moorpark,City,Ventura,california,34.285558,-118.8820414,0.0
272,Moraga,Town,Contra Costa,california,37.8349263,-122.1296871,1.14
273,Moreno Valley,City,Riverside,california,33.9424658,-117.2296717,0.0
274,Morgan Hill,City,Santa Clara,california,37.130501200000005,-121.65439009999999,1.22
275,Morro Bay,City,San Luis Obispo,california,35.3659445,-120.8499924,0.0
276,Mount Shasta,City,Siskiyou,california,41.30987460000001,-122.3105666,0.0
277,Mountain View,City,Santa Clara,california,37.3860517,-122.08385109999999,0.92
278,Murrieta,City,Riverside,california,33.553914299999995,-117.21392320000001,0.0
279,Napa,City,Napa,california,38.2975381,-122.28686499999999,0.25
280,National City,City,San Diego,california,32.6781085,-117.0991967,0.0
281,Needles,City,San Bernardino,california,34.8480597,-114.6141315,0.0
282,Nevada City,City,Nevada,california,39.2615606,-121.0160594,0.51
283,Newark,City,Alameda,california,37.5296593,-122.0402399,1.02
284,Newman,City,Stanislaus,california,37.31382670000001,-121.02076140000001,2.42
285,Newport Beach,City,Orange,california,33.618882899999996,-117.9298493,0.0
286,Norco,City,Riverside,california,33.9311257,-117.54866100000001,0.0
287,Norwalk,City,Los Angeles,california,33.9022367,-118.08173300000001,0.0
288,Novato,City,Marin,california,38.107419799999995,-122.5697032,0.51
289,Oakdale,City,Stanislaus,california,37.766594700000006,-120.84715449999999,2.42
290,Oakland,City,Alameda,california,37.8043637,-122.27111370000002,1.14
291,Oakley,City,Contra Costa,california,37.9974219,-121.71245359999999,0.89
292,Oceanside,City,San Diego,california,33.1958696,-117.3794834,0.0
293,Ojai,City,Ventura,california,34.448049499999996,-119.24288899999999,0.0
294,Ontario,City,San Bernardino,california,34.0633443,-117.65088759999999,0.0
295,Orange,City,Orange,california,33.7879139,-117.8531007,0.0
296,Orange Cove,City,Fresno,california,36.624394,-119.3137301,0.0
297,Orinda,City,Contra Costa,california,37.8771476,-122.17968880000001,1.14
298,Orland,City,Glenn,california,39.747380299999996,-122.19637479999999,0.0
299,Oroville,City,Butte,california,39.513775200000005,-121.55635900000001,0.51
300,Oxnard,City,Ventura,california,34.1975048,-119.17705159999998,0.0
301,Pacific Grove,City,Monterey,california,36.6177374,-121.9166215,0.38
302,Pacifica,City,San Mateo,california,37.613825299999995,-122.48691940000002,1.14
303,Palm Desert,City,Riverside,california,33.7222445,-116.37445559999999,0.0
304,Palm Springs,City,Riverside,california,33.8302961,-116.54529209999998,0.0
305,Palmdale,City,Los Angeles,california,34.5794343,-118.11646129999998,0.0
306,Palo Alto,City,Santa Clara,california,37.441883399999995,-122.14301950000001,1.02
307,Palos Verdes Estates,City,Los Angeles,california,33.800571399999995,-118.3900737,0.0
308,Paradise,Town,Butte,california,39.7596061,-121.62191770000001,0.0
309,Paramount,City,Los Angeles,california,33.8894598,-118.15979109999998,0.0
310,Parlier,City,Fresno,california,36.6116174,-119.52707340000002,0.0
311,Pasadena,City,Los Angeles,california,34.1477849,-118.1445155,0.0
312,Paso Robles,City,San Luis Obispo,california,35.6368759,-120.65450220000001,0.0
313,Patterson,City,Stanislaus,california,37.471600099999996,-121.12965600000001,2.46
314,Perris,City,Riverside,california,33.7825194,-117.22864779999999,0.0
315,Petaluma,City,Sonoma,california,38.232417,-122.6366524,0.25
316,Pico Rivera,City,Los Angeles,california,33.9830688,-118.09673500000001,0.0
317,Piedmont,City,Alameda,california,37.824371500000005,-122.23163500000001,1.14
318,Pinole,City,Contra Costa,california,38.0043667,-122.29885870000001,1.02
319,Pismo Beach,City,San Luis Obispo,california,35.1427533,-120.6412827,0.0
