city,type,county,state,lat,lng
Dinuba,City,Tulare,california,36.5432837,-119.3870656
Dixon,City,Solano,california,38.4454641,-121.8232958
Dorris,City,Siskiyou,california,41.9673696,-121.91806
Dos Palos,City,Merced,california,36.9860582,-120.6265722
Downey,City,Los Angeles,california,33.9401088,-118.1331593
Duarte,City,Los Angeles,california,34.1394513,-117.9772873
Dublin,City,Alameda,california,37.7021521,-121.9357918
Dunsmuir,City,Siskiyou,california,41.2082089,-122.2719529
East Palo Alto,City,San Mateo,california,37.4688273,-122.1410751
Eastvale,City,Riverside,california,33.952463,-117.5848025
El Cajon,City,San Diego,california,32.7947731,-116.9625269
El Centro,City,Imperial,california,32.792,-115.5630514
El Cerrito,City,Contra Costa,california,37.9161326,-122.310765
El Monte,City,Los Angeles,california,34.0686206,-118.0275667
El Segundo,City,Los Angeles,california,33.9191799,-118.4164652
Elk Grove,City,Sacramento,california,38.4087993,-121.3716178
Emeryville,City,Alameda,california,37.831316,-122.2852473
Encinitas,City,San Diego,california,33.0369867,-117.2919818
Escalon,City,San Joaquin,california,37.7974273,-120.9966033
Escondido,City,San Diego,california,33.1192068,-117.086421
Etna,City,Siskiyou,california,41.4568065,-122.8947551
Eureka,City,Humboldt,california,40.8020712,-124.1636729
Exeter,City,Tulare,california,36.2960613,-119.1420517
Fairfax,Town,Marin,california,37.9871454,-122.5888686
Fairfield,City,Solano,california,38.2493581,-122.0399663
Farmersville,City,Tulare,california,36.2977283,-119.2067767
Ferndale,City,Humboldt,california,40.5762406,-124.2639441
Fillmore,City,Ventura,california,34.3991639,-118.918154
Firebaugh,City,Fresno,california,36.8588376,-120.4560072
Folsom,City,Sacramento,california,38.6779591,-121.1760583
Fontana,City,San Bernardino,california,34.0922335,-117.435048
Fort Bragg,City,Mendocino,california,39.445723,-123.8052935
Fort Jones,City,Siskiyou,california,41.6076387,-122.8403099
Fortuna,City,Humboldt,california,40.5981867,-124.1572756
Foster City,City,San Mateo,california,37.5585465,-122.2710788
Fountain Valley,City,Orange,california,33.7090212,-117.9544069
Fowler,City,Fresno,california,36.6305058,-119.6784697
Fremont,City,Alameda,california,37.5482697,-121.9885719
Fresno,City,Fresno,california,36.7377981,-119.7871247
Fullerton,City,Orange,california,33.8703645,-117.9242123
Galt,City,Sacramento,california,38.2546373,-121.2999485
Garden Grove,City,Orange,california,33.7742692,-117.9379952
Gardena,City,Los Angeles,california,33.8883487,-118.3089624
Gilroy,City,Santa Clara,california,37.0057816,-121.5682751
Glendale,City,Los Angeles,california,34.1425078,-118.255075
Glendora,City,Los Angeles,california,34.1361187,-117.865339
Goleta,City,Santa Barbara,california,34.4358294,-119.8276389
Gonzales,City,Monterey,california,36.5066295,-121.4443806
Grand Terrace,City,San Bernardino,california,34.0339031,-117.3136544
Grass Valley,City,Nevada,california,39.2190608,-121.0610606
Greenfield,City,Monterey,california,36.3207998,-121.2438138
Gridley,City,Butte,california,39.3637773,-121.6935833
Grover Beach,City,San Luis Obispo,california,35.1216424,-120.6212821
Guadalupe,City,Santa Barbara,california,34.971644,-120.5718363
Gustine,City,Merced,california,37.2577171,-120.9988154
Half Moon Bay,City,San Mateo,california,37.4635519,-122.4285862
Hanford,City,Kings,california,36.3274502,-119.6456844
Hawaiian Gardens,City,Los Angeles,california,33.8314045,-118.0728424
Hawthorne,City,Los Angeles,california,33.9164032,-118.3525748
Hayward,City,Alameda,california,37.6688205,-122.0807964
Healdsburg,City,Sonoma,california,38.6104658,-122.8691609
Hemet,City,Riverside,california,33.7475203,-116.9719684
Hercules,City,Contra Costa,california,38.0171441,-122.2885808
Hermosa Beach,City,Los Angeles,california,33.8622366,-118.3995194
Hesperia,City,San Bernardino,california,34.4263886,-117.3008784
Hidden Hills,City,Los Angeles,california,34.1602832,-118.6523096
Highland,City,San Bernardino,california,34.1283442,-117.2086513
Hillsborough,Town,San Mateo,california,37.5741032,-122.3794163
Hollister,City,San Benito,california,36.8524545,-121.4016021
Holtville,City,Imperial,california,32.8111612,-115.3802643
Hughson,City,Stanislaus,california,37.6027244,-120.8664811
Huntington Beach,City,Orange,california,33.6594835,-117.9988026
Huntington Park,City,Los Angeles,california,33.9816812,-118.2250725
Huron,City,Fresno,california,36.2027308,-120.1029177
Imperial,City,Imperial,california,32.8475528,-115.5694391
Imperial Beach,City,San Diego,california,32.5839444,-117.1130849
Indian Wells,City,Riverside,california,33.717631,-116.3407549
