cities,lat,lng,aqi,category,dominant_pollutant
Sierra Madre,34.1616729,-118.0528456,65,Moderate air quality,pm25
Signal Hill,33.8044614,-118.1678456,61,Moderate air quality,pm25
Simi Valley,34.2694474,-118.78148200000001,34,Good air quality,o3
Solana Beach,32.991155,-117.27114809999999,57,Moderate air quality,pm25
Soledad,36.424687,-121.32631869999999,57,Moderate air quality,pm25
Solvang,34.5958201,-120.13764809999999,29,Good air quality,pm25
Sonoma,38.291859,-122.45803559999999,52,Moderate air quality,pm25
Sonora,37.982949600000005,-120.38217240000002,76,Moderate air quality,pm25
South El Monte,34.0519548,-118.04673390000002,63,Moderate air quality,pm25
South Gate,33.954737,-118.21201609999999,67,Moderate air quality,pm25
South Lake Tahoe,38.939926,-119.9771868,34,Good air quality,o3
South Pasadena,34.1161196,-118.15034879999999,66,Moderate air quality,pm25
South San Francisco,37.654656,-122.40774979999999,64,Moderate air quality,pm25
Stanton,33.8028875,-117.9931203,53,Moderate air quality,pm25
Stockton,37.9577016,-121.29077959999998,77,Moderate air quality,pm25
Suisun City,38.2382474,-122.040244,37,Good air quality,pm25
Sunnyvale,37.368829999999996,-122.03634960000001,57,Moderate air quality,pm25
Susanville,40.4162842,-120.6530063,51,Moderate air quality,pm25
Sutter Creek,38.3929675,-120.8024357,57,Moderate air quality,pm25
Taft,35.142467100000005,-119.4565078,75,Moderate air quality,pm25
Tehachapi,35.1321877,-118.44897390000001,51,Moderate air quality,pm25
Tehama,40.0271015,-122.12332279999998,21,Good air quality,pm25
Temecula,33.4936391,-117.14836480000001,53,Moderate air quality,pm25
Temple City,34.1072305,-118.05784560000001,56,Moderate air quality,pm25
Thousand Oaks,34.1705609,-118.83759369999999,60,Moderate air quality,pm25
Tiburon,37.87353770000001,-122.4566392,56,Moderate air quality,pm25
Torrance,33.835849200000006,-118.34062879999999,49,Good air quality,pm25
Tracy,37.7396513,-121.42522269999999,70,Moderate air quality,pm25
Trinidad,41.05929099999999,-124.14312460000001,22,Good air quality,o3
Truckee,39.327962,-120.1832533,53,Moderate air quality,pm25
Tulare,36.20772879999999,-119.3473379,117,Unhealthy for sensitive groups air quality,pm25
Tulelake,41.955988399999995,-121.4774916,52,Moderate air quality,pm25
Turlock,37.494656799999994,-120.84659409999999,82,Moderate air quality,pm25
Tustin,33.7420005,-117.82363909999998,37,Good air quality,pm25
Twentynine Palms,34.135558200000006,-116.05416890000001,45,Good air quality,o3
Ukiah,39.1501709,-123.2077831,61,Moderate air quality,pm25
Union City,37.59339179999999,-122.0438298,47,Good air quality,pm25
Upland,34.09751,-117.64838759999999,57,Moderate air quality,pm25
Vacaville,38.3565773,-121.98774440000001,63,Moderate air quality,pm25
Vallejo,38.1040864,-122.25663670000002,61,Moderate air quality,pm25
Ventura,34.28049229999999,-119.2945199,58,Moderate air quality,pm25
Vernon,34.003903,-118.230073,69,Moderate air quality,pm25
Victorville,34.5362184,-117.29276409999999,58,Moderate air quality,pm25
Villa Park,33.81400620000001,-117.8220723,54,Moderate air quality,pm25
Visalia,36.330228399999996,-119.2920585,117,Unhealthy for sensitive groups air quality,pm25
Vista,33.2000368,-117.2425355,54,Moderate air quality,pm25
Walnut,34.020289399999996,-117.86533859999999,57,Moderate air quality,pm25
Walnut Creek,37.9100783,-122.06518190000001,57,Moderate air quality,pm25
Wasco,35.5941238,-119.34094569999999,90,Moderate air quality,pm25
Waterford,37.6413202,-120.7604834,73,Moderate air quality,pm25
Watsonville,36.910231,-121.7568946,56,Moderate air quality,pm25
Weed,41.42264979999999,-122.38612690000001,61,Moderate air quality,pm25
West Covina,34.0686208,-117.93895259999998,67,Moderate air quality,pm25
West Hollywood,34.0900091,-118.3617443,66,Moderate air quality,pm25
West Sacramento,38.5804609,-121.53023400000001,54,Moderate air quality,pm25
Westlake Village,34.1466467,-118.8073729,40,Good air quality,pm25
Westminster,33.75917570000001,-117.9897058,56,Moderate air quality,pm25
Westmorland,33.0372674,-115.6213817,80,Moderate air quality,pm25
Wheatland,39.0098946,-121.4230133,41,Good air quality,pm25
Whittier,33.97917929999999,-118.032844,60,Moderate air quality,pm25
Wildomar,33.5989126,-117.2800372,35,Good air quality,o3
Williams,39.154613700000006,-122.1494187,68,Moderate air quality,pm25
Willits,39.4096079,-123.35556559999999,44,Good air quality,pm25
Willows,39.5243265,-122.19359309999999,55,Moderate air quality,pm25
Windsor,38.547132700000006,-122.81638020000001,40,Good air quality,pm25
Winters,38.5249065,-121.9708017,56,Moderate air quality,pm25
Woodlake,36.413560499999996,-119.0987176,84,Moderate air quality,pm25
Woodland,38.67851570000001,-121.7732971,71,Moderate air quality,pm25
Woodside,37.429938799999995,-122.2538557,51,Moderate air quality,pm25
Yorba Linda,33.88850350000001,-117.8132571,57,Moderate air quality,pm25
Yountville,38.40157809999999,-122.3608105,30,Good air quality,pm25
Yreka,41.735418599999996,-122.6344709,56,Moderate air quality,pm25
Yuba City,39.1404477,-121.6169108,58,Moderate air quality,pm25
Yucaipa,34.033625,-117.0430865,58,Moderate air quality,pm25
Yucca Valley,34.114174299999995,-116.432235,48,Good air quality,o3
