cities,lat,lng,aqi,category,dominant_pollutant
Corte Madera,37.92548060000001,-122.5274755,42,Good air quality,pm25
Costa Mesa,33.6412156,-117.91882209999999,59,Moderate air quality,pm25
Cotati,38.3293416,-122.70966659999999,50,Good air quality,pm25
Covina,34.0900091,-117.89033970000001,68,Moderate air quality,pm25
Crescent City,41.7557501,-124.2025913,35,Good air quality,o3
Cudahy,33.9605701,-118.1853486,63,Moderate air quality,pm25
Culver City,34.021122399999996,-118.3964665,68,Moderate air quality,pm25
Cupertino,37.322997799999996,-122.03218229999999,56,Moderate air quality,pm25
Cypress,33.816936600000005,-118.0368507,53,Moderate air quality,pm25
Daly City,37.687924100000004,-122.47020790000002,62,Moderate air quality,pm25
Dana Point,33.4672256,-117.6981014,59,Moderate air quality,pm25
Danville,37.8215929,-121.9999606,54,Moderate air quality,pm25
Davis,38.5449065,-121.74051670000001,75,Moderate air quality,pm25
Del Mar,32.9594891,-117.2653146,51,Moderate air quality,pm25
Del Rey Oaks,36.5932934,-121.83495149999999,25,Good air quality,pm25
Delano,35.7688425,-119.24705359999999,91,Moderate air quality,pm25
Desert Hot Springs,33.961124,-116.5016784,52,Moderate air quality,pm25
Diamond Bar,34.028622600000006,-117.81033670000001,68,Moderate air quality,pm25
Dinuba,36.5432837,-119.3870656,85,Moderate air quality,pm25
Dixon,38.4454641,-121.82329579999998,71,Moderate air quality,pm25
Dorris,41.9673696,-121.91806000000001,51,Moderate air quality,pm25
Dos Palos,36.9860582,-120.62657220000001,61,Moderate air quality,pm25
Downey,33.9401088,-118.13315929999999,63,Moderate air quality,pm25
Duarte,34.1394513,-117.97728729999999,64,Moderate air quality,pm25
Dublin,37.7021521,-121.9357918,52,Moderate air quality,pm25
Dunsmuir,41.208208899999995,-122.27195290000002,33,Good air quality,pm25
East Palo Alto,37.4688273,-122.1410751,59,Moderate air quality,pm25
Eastvale,33.952463,-117.5848025,54,Moderate air quality,pm25
El Cajon,32.7947731,-116.96252690000001,69,Moderate air quality,pm25
El Centro,32.792,-115.56305139999999,63,Moderate air quality,pm25
El Cerrito,37.9161326,-122.31076499999999,60,Moderate air quality,pm25
El Monte,34.0686206,-118.02756670000001,69,Moderate air quality,pm25
El Segundo,33.9191799,-118.4164652,59,Moderate air quality,pm25
Elk Grove,38.4087993,-121.37161780000001,64,Moderate air quality,pm25
Emeryville,37.831315999999994,-122.2852473,60,Moderate air quality,pm25
Encinitas,33.0369867,-117.2919818,58,Moderate air quality,pm25
Escalon,37.797427299999995,-120.9966033,72,Moderate air quality,pm25
Escondido,33.1192068,-117.086421,62,Moderate air quality,pm25
Etna,41.4568065,-122.8947551,42,Good air quality,pm25
Eureka,40.80207120000001,-124.16367290000001,43,Good air quality,pm25
Exeter,36.2960613,-119.1420517,92,Moderate air quality,pm25
Fairfax,37.987145399999996,-122.5888686,26,Good air quality,pm25
Fairfield,38.24935809999999,-122.03996629999999,56,Moderate air quality,pm25
Farmersville,36.2977283,-119.2067767,96,Moderate air quality,pm25
Ferndale,40.5762406,-124.26394409999999,28,Good air quality,o3
Fillmore,34.3991639,-118.918154,34,Good air quality,pm25
Firebaugh,36.8588376,-120.45600719999999,80,Moderate air quality,pm25
Folsom,38.6779591,-121.17605829999998,55,Moderate air quality,pm25
Fontana,34.0922335,-117.435048,70,Moderate air quality,pm25
Fort Bragg,39.445723,-123.8052935,30,Good air quality,pm25
Fort Jones,41.6076387,-122.84030990000002,45,Good air quality,pm25
Fortuna,40.5981867,-124.1572756,29,Good air quality,pm25
Foster City,37.558546500000006,-122.2710788,59,Moderate air quality,pm25
Fountain Valley,33.7090212,-117.95440690000001,60,Moderate air quality,pm25
Fowler,36.630505799999995,-119.6784697,71,Moderate air quality,pm25
Fremont,37.548269700000006,-121.98857190000001,49,Good air quality,pm25
Fresno,36.737798100000006,-119.78712469999999,89,Moderate air quality,pm25
Fullerton,33.8703645,-117.9242123,61,Moderate air quality,pm25
Galt,38.2546373,-121.29994850000001,67,Moderate air quality,pm25
Garden Grove,33.774269200000006,-117.9379952,59,Moderate air quality,pm25
Gardena,33.8883487,-118.30896240000001,61,Moderate air quality,pm25
Gilroy,37.0057816,-121.5682751,49,Good air quality,pm25
Glendale,34.1425078,-118.255075,69,Moderate air quality,pm25
Glendora,34.136118700000004,-117.86533899999999,68,Moderate air quality,pm25
Goleta,34.4358294,-119.8276389,56,Moderate air quality,pm25
Gonzales,36.506629499999995,-121.44438059999999,56,Moderate air quality,pm25
Grand Terrace,34.0339031,-117.3136544,68,Moderate air quality,pm25
Grass Valley,39.219060799999994,-121.06106059999999,51,Moderate air quality,pm25
Greenfield,36.320799799999996,-121.2438138,51,Moderate air quality,pm25
Gridley,39.363777299999995,-121.69358329999999,53,Moderate air quality,pm25
Grover Beach,35.1216424,-120.6212821,40,Good air quality,pm25
Guadalupe,34.971644,-120.57183629999999,21,Good air quality,pm25
Gustine,37.2577171,-120.99881540000001,57,Moderate air quality,pm25
Half Moon Bay,37.4635519,-122.4285862,34,Good air quality,pm25
Hanford,36.3274502,-119.64568440000001,81,Moderate air quality,pm25
Hawaiian Gardens,33.8314045,-118.07284240000001,61,Moderate air quality,pm25
Hawthorne,33.9164032,-118.35257479999999,66,Moderate air quality,pm25
Hayward,37.6688205,-122.08079640000001,59,Moderate air quality,pm25
Healdsburg,38.6104658,-122.86916090000001,52,Moderate air quality,pm25
Hemet,33.7475203,-116.97196840000001,59,Moderate air quality,pm25
Hercules,38.017144099999996,-122.28858079999999,33,Good air quality,pm25
Hermosa Beach,33.8622366,-118.39951940000002,63,Moderate air quality,pm25
Hesperia,34.4263886,-117.3008784,43,Good air quality,o3
