,cities,lat,lng,aqi,category,dominant_pollutant
133,Eureka,40.80207120000001,-124.16367290000001,43,Good air quality,pm25
134,Exeter,36.2960613,-119.1420517,92,Moderate air quality,pm25
135,Fairfax,37.987145399999996,-122.5888686,26,Good air quality,pm25
136,Fairfield,38.24935809999999,-122.03996629999999,56,Moderate air quality,pm25
137,Farmersville,36.2977283,-119.2067767,96,Moderate air quality,pm25
138,Ferndale,40.5762406,-124.26394409999999,28,Good air quality,o3
139,Fillmore,34.3991639,-118.918154,34,Good air quality,pm25
140,Firebaugh,36.8588376,-120.45600719999999,80,Moderate air quality,pm25
141,Folsom,38.6779591,-121.17605829999998,55,Moderate air quality,pm25
142,Fontana,34.0922335,-117.435048,70,Moderate air quality,pm25
143,Fort Bragg,39.445723,-123.8052935,30,Good air quality,pm25
144,Fort Jones,41.6076387,-122.84030990000002,45,Good air quality,pm25
145,Fortuna,40.5981867,-124.1572756,29,Good air quality,pm25
146,Foster City,37.558546500000006,-122.2710788,59,Moderate air quality,pm25
147,Fountain Valley,33.7090212,-117.95440690000001,60,Moderate air quality,pm25
148,Fowler,36.630505799999995,-119.6784697,71,Moderate air quality,pm25
149,Fremont,37.548269700000006,-121.98857190000001,49,Good air quality,pm25
150,Fresno,36.737798100000006,-119.78712469999999,89,Moderate air quality,pm25
151,Fullerton,33.8703645,-117.9242123,61,Moderate air quality,pm25
152,Galt,38.2546373,-121.29994850000001,67,Moderate air quality,pm25
153,Garden Grove,33.774269200000006,-117.9379952,59,Moderate air quality,pm25
154,Gardena,33.8883487,-118.30896240000001,61,Moderate air quality,pm25
155,Gilroy,37.0057816,-121.5682751,49,Good air quality,pm25
156,Glendale,34.1425078,-118.255075,69,Moderate air quality,pm25
157,Glendora,34.136118700000004,-117.86533899999999,68,Moderate air quality,pm25
158,Goleta,34.4358294,-119.8276389,56,Moderate air quality,pm25
159,Gonzales,36.506629499999995,-121.44438059999999,56,Moderate air quality,pm25
160,Grand Terrace,34.0339031,-117.3136544,68,Moderate air quality,pm25
161,Grass Valley,39.219060799999994,-121.06106059999999,51,Moderate air quality,pm25
162,Greenfield,36.320799799999996,-121.2438138,51,Moderate air quality,pm25
163,Gridley,39.363777299999995,-121.69358329999999,53,Moderate air quality,pm25
164,Grover Beach,35.1216424,-120.6212821,40,Good air quality,pm25
165,Guadalupe,34.971644,-120.57183629999999,21,Good air quality,pm25
166,Gustine,37.2577171,-120.99881540000001,57,Moderate air quality,pm25
167,Half Moon Bay,37.4635519,-122.4285862,34,Good air quality,pm25
168,Hanford,36.3274502,-119.64568440000001,81,Moderate air quality,pm25
169,Hawaiian Gardens,33.8314045,-118.07284240000001,61,Moderate air quality,pm25
170,Hawthorne,33.9164032,-118.35257479999999,66,Moderate air quality,pm25
171,Hayward,37.6688205,-122.08079640000001,59,Moderate air quality,pm25
172,Healdsburg,38.6104658,-122.86916090000001,52,Moderate air quality,pm25
173,Hemet,33.7475203,-116.97196840000001,59,Moderate air quality,pm25
174,Hercules,38.017144099999996,-122.28858079999999,33,Good air quality,pm25
175,Hermosa Beach,33.8622366,-118.39951940000002,63,Moderate air quality,pm25
176,Hesperia,34.4263886,-117.3008784,43,Good air quality,o3
177,Hidden Hills,34.16028319999999,-118.6523096,38,Good air quality,pm25
178,Highland,34.1283442,-117.2086513,57,Moderate air quality,pm25
179,Hillsborough,37.5741032,-122.37941629999999,32,Good air quality,pm25
180,Hollister,36.8524545,-121.40160209999999,53,Moderate air quality,pm25
181,Holtville,32.811161199999994,-115.3802643,104,Unhealthy for sensitive groups air quality,pm25
182,Hughson,37.6027244,-120.8664811,59,Moderate air quality,pm25
183,Huntington Beach,33.6594835,-117.99880259999999,59,Moderate air quality,pm25
184,Huntington Park,33.981681200000004,-118.22507250000001,69,Moderate air quality,pm25
185,Huron,36.2027308,-120.10291770000002,55,Moderate air quality,pm25
186,Imperial,32.8475528,-115.56943909999998,81,Moderate air quality,pm25
187,Imperial Beach,32.58394439999999,-117.11308490000002,92,Moderate air quality,pm25
188,Indian Wells,33.717631,-116.34075490000001,38,Good air quality,o3
189,Indio,33.7205771,-116.2155619,52,Moderate air quality,pm25
190,Industry,34.0197335,-117.95867539999999,63,Moderate air quality,pm25
191,Inglewood,33.9616801,-118.3531311,71,Moderate air quality,pm25
192,Ione,38.3526912,-120.93271770000001,58,Moderate air quality,pm25
193,Irvine,33.6845673,-117.82650490000002,54,Moderate air quality,pm25
194,Irwindale,34.1069527,-117.93534129999999,60,Moderate air quality,pm25
195,Isleton,38.1618614,-121.6116206,54,Moderate air quality,pm25
196,Jackson,38.348802299999996,-120.7741018,42,Good air quality,pm25
197,Jurupa Valley,33.9971974,-117.48548020000001,72,Moderate air quality,pm25
198,Kerman,36.72355719999999,-120.05987900000001,72,Moderate air quality,pm25
199,King City,36.2127439,-121.1260287,55,Moderate air quality,pm25
200,Kingsburg,36.5138398,-119.5540175,82,Moderate air quality,pm25
201,La Cañada Flintridge,34.2068182,-118.2000277,64,Moderate air quality,pm25
202,La Habra,33.931859100000004,-117.94613700000001,62,Moderate air quality,pm25
203,La Habra Heights,33.9608461,-117.9506186,56,Moderate air quality,pm25
204,La Mesa,32.7678287,-117.02308390000002,73,Moderate air quality,pm25
205,La Mirada,33.9172357,-118.01200859999999,60,Moderate air quality,pm25
206,La Palma,33.8463218,-118.0461393,53,Moderate air quality,pm25
207,La Puente,34.0200114,-117.94950829999999,59,Moderate air quality,pm25
208,La Quinta,33.663357299999994,-116.31000949999999,38,Good air quality,o3
209,La Verne,34.10084260000001,-117.7678355,61,Moderate air quality,pm25
210,Lafayette,37.885758200000005,-122.1180201,48,Good air quality,pm25
211,Laguna Beach,33.542718900000004,-117.7853568,61,Moderate air quality,pm25
212,Laguna Hills,33.591643299999994,-117.69866040000001,52,Moderate air quality,pm25
213,Laguna Niguel,33.5236744,-117.71494380000001,60,Moderate air quality,pm25
214,Laguna Woods,33.610170200000006,-117.7251162,53,Moderate air quality,pm25
215,Lake Elsinore,33.668077200000006,-117.3272615,51,Moderate air quality,pm25
216,Lake Forest,33.6469437,-117.6861023,52,Moderate air quality,pm25
217,Lakeport,39.0429506,-122.91582930000001,57,Moderate air quality,pm25
218,Lakewood,33.853626899999995,-118.13395630000001,58,Moderate air quality,pm25
219,Lancaster,34.6867846,-118.1541632,37,Good air quality,o3
220,Larkspur,37.9340915,-122.53525390000001,26,Good air quality,pm25
221,Lathrop,37.8227046,-121.27661,58,Moderate air quality,pm25
222,Lawndale,33.887237,-118.3525744,64,Moderate air quality,pm25
223,Lemon Grove,32.7425516,-117.0314172,74,Moderate air quality,pm25
224,Lemoore,36.3007835,-119.7829107,68,Moderate air quality,pm25
225,Lincoln,38.891565,-121.29300790000002,61,Moderate air quality,pm25
226,Lindsay,36.2030064,-119.08816000000002,90,Moderate air quality,pm25
227,Live Oak,39.2757232,-121.6599701,62,Moderate air quality,pm25
228,Livermore,37.6818745,-121.7680088,56,Moderate air quality,pm25
229,Livingston,37.3868826,-120.72353290000001,63,Moderate air quality,pm25
230,Lodi,38.1341477,-121.27221940000001,67,Moderate air quality,pm25
231,Loma Linda,34.0483474,-117.2611527,64,Moderate air quality,pm25
232,Lomita,33.792239200000004,-118.3150722,39,Good air quality,pm25
233,Lompoc,34.6391501,-120.4579409,43,Good air quality,pm25
234,Long Beach,33.770050399999995,-118.1937395,67,Moderate air quality,pm25
235,Loomis,38.8212889,-121.1930041,57,Moderate air quality,pm25
236,Los Alamitos,33.80320089999999,-118.0718894,59,Moderate air quality,pm25
237,Los Altos,37.3852183,-122.1141298,54,Moderate air quality,pm25
238,Los Altos Hills,37.379662700000004,-122.13746370000001,34,Good air quality,pm25
239,Los Angeles,34.0522342,-118.24368490000002,76,Moderate air quality,pm25
240,Los Banos,37.0582786,-120.84991509999999,57,Moderate air quality,pm25
241,Los Gatos,37.235807799999996,-121.96237509999999,47,Good air quality,pm25
242,Loyalton,39.67629360000001,-120.2410385,54,Moderate air quality,pm25
243,Lynwood,33.930293,-118.21146029999998,66,Moderate air quality,pm25
244,Madera,36.961335600000005,-120.0607176,83,Moderate air quality,pm25
245,Malibu,34.025921600000004,-118.7797571,40,Good air quality,pm25
246,Mammoth Lakes,37.648546,-118.97207900000001,24,Good air quality,o3
247,Manhattan Beach,33.884736100000005,-118.41090890000001,58,Moderate air quality,pm25
248,Manteca,37.797427299999995,-121.21605259999998,74,Moderate air quality,pm25
249,Maricopa,35.058858,-119.40095090000001,67,Moderate air quality,pm25
250,Marina,36.68440289999999,-121.802173,52,Moderate air quality,pm25
251,Martinez,38.0193657,-122.1341321,58,Moderate air quality,pm25
252,Marysville,39.145725299999995,-121.5913547,65,Moderate air quality,pm25
253,Maywood,33.9866807,-118.185349,69,Moderate air quality,pm25
254,McFarland,35.6780104,-119.22927479999998,108,Unhealthy for sensitive groups air quality,pm25
255,Mendota,36.753561100000006,-120.3815574,71,Moderate air quality,pm25
256,Menifee,33.6971468,-117.185294,36,Good air quality,o3
257,Menlo Park,37.4529598,-122.1817252,60,Moderate air quality,pm25
258,Merced,37.3021632,-120.48296770000002,63,Moderate air quality,pm25
259,Mill Valley,37.906036799999995,-122.5449763,53,Moderate air quality,pm25
260,Millbrae,37.5985468,-122.38719420000001,59,Moderate air quality,pm25
261,Milpitas,37.4323341,-121.8995741,52,Moderate air quality,pm25
262,Mission Viejo,33.596891299999996,-117.6581562,53,Moderate air quality,pm25
263,Modesto,37.63909719999999,-120.99687820000001,77,Moderate air quality,pm25
264,Monrovia,34.14426160000001,-118.0019482,63,Moderate air quality,pm25
265,Montague,41.7281985,-122.5278007,46,Good air quality,pm25
266,Montclair,34.0775104,-117.68977759999999,60,Moderate air quality,pm25
267,Monte Sereno,37.23633299999999,-121.99245800000001,43,Good air quality,pm25
268,Montebello,34.0165053,-118.11375349999999,58,Moderate air quality,pm25
269,Monterey,36.600237799999995,-121.8946761,60,Moderate air quality,pm25
270,Monterey Park,34.0625106,-118.1228476,66,Moderate air quality,pm25
271,Moorpark,34.285558,-118.8820414,58,Moderate air quality,pm25
272,Moraga,37.8349263,-122.1296871,29,Good air quality,pm25
273,Moreno Valley,33.9424658,-117.2296717,64,Moderate air quality,pm25
274,Morgan Hill,37.130501200000005,-121.65439009999999,53,Moderate air quality,pm25
275,Morro Bay,35.3659445,-120.8499924,22,Good air quality,o3
276,Mount Shasta,41.30987460000001,-122.3105666,37,Good air quality,pm25
277,Mountain View,37.3860517,-122.08385109999999,61,Moderate air quality,pm25
278,Murrieta,33.553914299999995,-117.21392320000001,39,Good air quality,o3
279,Napa,38.2975381,-122.28686499999999,55,Moderate air quality,pm25
280,National City,32.6781085,-117.0991967,82,Moderate air quality,pm25
281,Needles,34.8480597,-114.6141315,63,Moderate air quality,pm25
282,Nevada City,39.2615606,-121.0160594,29,Good air quality,o3
283,Newark,37.5296593,-122.0402399,31,Good air quality,pm25
284,Newman,37.31382670000001,-121.02076140000001,57,Moderate air quality,pm25
285,Newport Beach,33.618882899999996,-117.9298493,47,Good air quality,pm25
286,Norco,33.9311257,-117.54866100000001,55,Moderate air quality,pm25
287,Norwalk,33.9022367,-118.08173300000001,64,Moderate air quality,pm25
288,Novato,38.107419799999995,-122.5697032,57,Moderate air quality,pm25
289,Oakdale,37.766594700000006,-120.84715449999999,71,Moderate air quality,pm25
290,Oakland,37.8043637,-122.27111370000002,67,Moderate air quality,pm25
291,Oakley,37.9974219,-121.71245359999999,61,Moderate air quality,pm25
292,Oceanside,33.1958696,-117.3794834,59,Moderate air quality,pm25
293,Ojai,34.448049499999996,-119.24288899999999,53,Moderate air quality,pm25
294,Ontario,34.0633443,-117.65088759999999,59,Moderate air quality,pm25
295,Orange,33.7879139,-117.8531007,61,Moderate air quality,pm25
296,Orange Cove,36.624394,-119.3137301,79,Moderate air quality,pm25
297,Orinda,37.8771476,-122.17968880000001,51,Moderate air quality,pm25
298,Orland,39.747380299999996,-122.19637479999999,34,Good air quality,pm25
299,Oroville,39.513775200000005,-121.55635900000001,45,Good air quality,pm25
300,Oxnard,34.1975048,-119.17705159999998,61,Moderate air quality,pm25
301,Pacific Grove,36.6177374,-121.9166215,45,Good air quality,pm25
302,Pacifica,37.613825299999995,-122.48691940000002,39,Good air quality,pm25
303,Palm Desert,33.7222445,-116.37445559999999,55,Moderate air quality,pm25
304,Palm Springs,33.8302961,-116.54529209999998,49,Good air quality,pm25
305,Palmdale,34.5794343,-118.11646129999998,47,Good air quality,pm25
306,Palo Alto,37.441883399999995,-122.14301950000001,57,Moderate air quality,pm25
307,Palos Verdes Estates,33.800571399999995,-118.3900737,45,Good air quality,pm25
308,Paradise,39.7596061,-121.62191770000001,30,Good air quality,pm25
309,Paramount,33.8894598,-118.15979109999998,39,Good air quality,pm25
310,Parlier,36.6116174,-119.52707340000002,76,Moderate air quality,pm25
311,Pasadena,34.1477849,-118.1445155,66,Moderate air quality,pm25
312,Paso Robles,35.6368759,-120.65450220000001,25,Good air quality,o3
313,Patterson,37.471600099999996,-121.12965600000001,62,Moderate air quality,pm25
314,Perris,33.7825194,-117.22864779999999,62,Moderate air quality,pm25
315,Petaluma,38.232417,-122.6366524,57,Moderate air quality,pm25
316,Pico Rivera,33.9830688,-118.09673500000001,60,Moderate air quality,pm25
317,Piedmont,37.824371500000005,-122.23163500000001,31,Good air quality,pm25
318,Pinole,38.0043667,-122.29885870000001,55,Moderate air quality,pm25
319,Pismo Beach,35.1427533,-120.6412827,44,Good air quality,pm25
320,Pittsburg,38.027976200000005,-121.88468059999998,61,Moderate air quality,pm25
321,Placentia,33.8710729,-117.86275479999999,59,Moderate air quality,pm25
322,Placerville,38.7296252,-120.798546,38,Good air quality,pm25
323,Pleasant Hill,37.9479786,-122.06079629999999,56,Moderate air quality,pm25
324,Pleasanton,37.6624312,-121.8746789,52,Moderate air quality,pm25
325,Plymouth,38.4818531,-120.84465900000001,34,Good air quality,pm25
326,Point Arena,38.908798,-123.69307260000001,36,Good air quality,pm25
327,Pomona,34.055103,-117.7499909,65,Moderate air quality,pm25
328,Port Hueneme,34.147782899999996,-119.1951074,55,Moderate air quality,pm25
329,Porterville,36.06523,-119.0167679,115,Unhealthy for sensitive groups air quality,pm25
330,Portola,39.8104567,-120.4691034,71,Moderate air quality,pm25
331,Portola Valley,37.3841066,-122.23524429999999,35,Good air quality,pm25
332,Poway,32.9628232,-117.0358646,39,Good air quality,pm25
333,Rancho Cordova,38.5890723,-121.302728,55,Moderate air quality,pm25
334,Rancho Cucamonga,34.10639889999999,-117.5931084,51,Moderate air quality,pm25
335,Rancho Mirage,33.739744,-116.41278999999999,38,Good air quality,o3
336,Rancho Palos Verdes,33.7444613,-118.3870173,39,Good air quality,pm25
337,Rancho Santa Margarita,33.640171,-117.602832,44,Good air quality,pm25
338,Red Bluff,40.1784886,-122.23583020000001,44,Good air quality,pm25
339,Redding,40.5865396,-122.3916754,86,Moderate air quality,pm25
340,Redlands,34.055569299999995,-117.1825381,69,Moderate air quality,pm25
341,Redondo Beach,33.8491816,-118.3884078,63,Moderate air quality,pm25
342,Redwood City,37.485215200000006,-122.2363548,54,Moderate air quality,pm25
343,Reedley,36.5963395,-119.45040290000001,79,Moderate air quality,pm25
344,Rialto,34.1064001,-117.37032350000001,66,Moderate air quality,pm25
345,Richmond,37.9357576,-122.3477486,64,Moderate air quality,pm25
346,Ridgecrest,35.6224561,-117.6708966,49,Good air quality,pm25
347,Rio Dell,40.4993013,-124.10643689999999,26,Good air quality,o3
348,Rio Vista,38.15575020000001,-121.6913439,55,Moderate air quality,pm25
349,Ripon,37.7394537,-121.13541409999998,56,Moderate air quality,pm25
350,Riverbank,37.7360396,-120.9354895,57,Moderate air quality,pm25
351,Riverside,33.9806005,-117.3754942,76,Moderate air quality,pm25
352,Rocklin,38.7907339,-121.2357828,59,Moderate air quality,pm25
353,Rohnert Park,38.3396367,-122.70109840000002,29,Good air quality,o3
354,Rolling Hills,33.756961499999996,-118.3539613,39,Good air quality,pm25
355,Rolling Hills Estates,33.787794299999995,-118.3581284,53,Moderate air quality,pm25
356,Rosemead,34.0805651,-118.072846,64,Moderate air quality,pm25
357,Roseville,38.752123499999996,-121.28800590000002,57,Moderate air quality,pm25
358,Ross,37.9624239,-122.55497749999999,37,Good air quality,pm25
359,Sacramento,38.5815719,-121.49439960000001,63,Moderate air quality,pm25
360,St. Helena,38.5052429,-122.4703868,38,Good air quality,pm25
361,Salinas,36.6777372,-121.6555013,58,Moderate air quality,pm25
362,San Anselmo,37.9746458,-122.56164479999998,37,Good air quality,pm25
363,San Bernardino,34.1083449,-117.2897652,62,Moderate air quality,pm25
364,San Bruno,37.6304904,-122.41108349999999,65,Moderate air quality,pm25
365,San Carlos,37.5071591,-122.26052220000001,58,Moderate air quality,pm25
366,San Clemente,33.4273521,-117.61260039999999,56,Moderate air quality,pm25
367,San Diego,32.715738,-117.1610838,84,Moderate air quality,pm25
368,San Dimas,34.1066756,-117.8067257,63,Moderate air quality,pm25
369,San Fernando,34.2819461,-118.4389719,65,Moderate air quality,pm25
370,San Francisco,37.7749295,-122.4194155,65,Moderate air quality,pm25
371,San Gabriel,34.09611110000001,-118.10583329999999,63,Moderate air quality,pm25
372,San Jacinto,33.783908399999994,-116.95863500000002,61,Moderate air quality,pm25
373,San Joaquin,36.6066162,-120.1890447,64,Moderate air quality,pm25
374,San Jose,37.338208200000004,-121.88632859999998,58,Moderate air quality,pm25
375,San Juan Bautista,36.84551079999999,-121.53799740000002,23,Good air quality,o3
376,San Juan Capistrano,33.5019027,-117.6627655,61,Moderate air quality,pm25
377,San Leandro,37.7249296,-122.1560768,51,Moderate air quality,pm25
378,San Luis Obispo,35.2827524,-120.6596156,20,Good air quality,o3
379,San Marcos,33.1433723,-117.1661449,47,Good air quality,pm25
380,San Marino,34.121396999999995,-118.1064585,63,Moderate air quality,pm25
381,San Mateo,37.562991700000005,-122.32552539999999,66,Moderate air quality,pm25
382,San Pablo,37.96214570000001,-122.3455263,61,Moderate air quality,pm25
383,San Rafael,37.9735346,-122.5310874,59,Moderate air quality,pm25
384,San Ramon,37.7799273,-121.9780153,53,Moderate air quality,pm25
385,Sand City,36.6171819,-121.8482855,25,Good air quality,pm25
386,Sanger,36.708006,-119.5559652,73,Moderate air quality,pm25
