index,city,type,county,state,lat,lng,uv_index,aqi,category,dominant_pollutant,date,temperature,cloud,pressure,wind(speed),rain
166,Gustine,City,Merced,california,37.2577171,-120.9988154,2.17,57,Moderate air quality,pm25,2018-12-01 06:06:27+00,10.83,1,1019.0,2.1,4.32
167,Half Moon Bay,City,San Mateo,california,37.4635519,-122.4285862,2.1,34,Good air quality,pm25,2018-12-01 06:06:27+00,13.76,20,1020.0,3.1,1.02
168,Hanford,City,Kings,california,36.3274502,-119.6456844,2.49,81,Moderate air quality,pm25,2018-12-01 06:06:27+00,11.88,1,1018.0,1.91,0.0
169,Hawaiian Gardens,City,Los Angeles,california,33.8314045,-118.0728424,3.05,61,Moderate air quality,pm25,2018-12-01 06:06:27+00,17.36,20,1015.0,5.33,0.0
170,Hawthorne,City,Los Angeles,california,33.9164032,-118.3525748,3.05,66,Moderate air quality,pm25,2018-12-01 06:06:27+00,17.36,1,1015.0,2.6,0.0
171,Hayward,City,Alameda,california,37.6688205,-122.0807964,2.03,59,Moderate air quality,pm25,2018-12-01 06:06:27+00,14.29,1,1020.0,2.1,1.02
172,Healdsburg,City,Sonoma,california,38.6104658,-122.8691609,1.83,52,Moderate air quality,pm25,2018-12-01 06:06:27+00,13.34,1,1019.0,4.26,0.25
173,Hemet,City,Riverside,california,33.7475203,-116.9719684,3.24,59,Moderate air quality,pm25,2018-12-01 06:06:27+00,16.55,1,1016.0,0.91,0.0
174,Hercules,City,Contra Costa,california,38.0171441,-122.2885808,1.92,33,Good air quality,pm25,2018-12-01 06:06:27+00,14.66,1,1020.0,2.1,0.44
175,Hermosa Beach,City,Los Angeles,california,33.8622366,-118.3995194,3.05,63,Moderate air quality,pm25,2018-12-01 06:06:27+00,17.42,20,1015.0,3.1,0.0
176,Hesperia,City,San Bernardino,california,34.4263886,-117.3008784,3.06,43,Good air quality,o3,2018-12-01 06:06:27+00,15.58,40,1016.0,2.1,0.0
177,Hidden Hills,City,Los Angeles,california,34.1602832,-118.6523096,2.98,38,Good air quality,pm25,2018-12-01 06:06:27+00,17.44,1,1015.0,2.1,0.0
178,Highland,City,San Bernardino,california,34.1283442,-117.2086513,3.1,57,Moderate air quality,pm25,2018-12-01 06:06:27+00,15.68,1,1016.0,0.71,0.0
179,Hillsborough,Town,San Mateo,california,37.5741032,-122.3794163,2.04,32,Good air quality,pm25,2018-12-01 06:06:27+00,14.07,20,1020.0,3.1,1.14
180,Hollister,City,San Benito,california,36.8524545,-121.4016021,2.26,53,Moderate air quality,pm25,2018-12-01 06:06:27+00,12.02,1,1020.0,1.91,0.38
181,Holtville,City,Imperial,california,32.8111612,-115.3802643,3.38,104,Unhealthy for sensitive groups air quality,pm25,2018-12-01 06:06:27+00,20.92,1,1013.0,7.2,0.0
182,Hughson,City,Stanislaus,california,37.6027244,-120.8664811,2.11,59,Moderate air quality,pm25,2018-12-01 06:06:27+00,9.85,1,1019.0,2.1,2.42
183,Huntington Beach,City,Orange,california,33.6594835,-117.9988026,3.12,59,Moderate air quality,pm25,2018-12-01 06:06:27+00,17.39,20,1015.0,5.33,0.0
184,Huntington Park,City,Los Angeles,california,33.9816812,-118.2250725,3.05,69,Moderate air quality,pm25,2018-12-01 06:06:27+00,17.36,1,1015.0,2.6,0.0
185,Huron,City,Fresno,california,36.2027308,-120.1029177,2.52,55,Moderate air quality,pm25,2018-12-01 06:06:27+00,12.31,1,1018.0,2.73,0.0
186,Imperial,City,Imperial,california,32.8475528,-115.5694391,3.39,81,Moderate air quality,pm25,2018-12-01 06:06:27+00,20.89,1,1013.0,7.2,0.0
187,Imperial Beach,City,San Diego,california,32.5839444,-117.1130849,3.47,92,Moderate air quality,pm25,2018-12-01 06:06:27+00,17.28,40,1016.0,2.6,0.0
188,Indian Wells,City,Riverside,california,33.717631,-116.3407549,3.24,38,Good air quality,o3,2018-12-01 06:06:27+00,17.53,40,1014.0,3.6,0.0
189,Indio,City,Riverside,california,33.7205771,-116.2155619,3.13,52,Moderate air quality,pm25,2018-12-01 06:06:27+00,17.55,40,1014.0,3.6,0.0
190,Industry,City,Los Angeles,california,34.0197335,-117.9586754,3.02,63,Moderate air quality,pm25,2018-12-01 06:06:27+00,17.18,1,1015.0,1.46,0.0
191,Inglewood,City,Los Angeles,california,33.9616801,-118.3531311,3.05,71,Moderate air quality,pm25,2018-12-01 06:06:27+00,17.36,1,1015.0,2.6,0.0
192,Ione,City,Amador,california,38.3526912,-120.9327177,1.97,58,Moderate air quality,pm25,2018-12-01 06:06:27+00,10.49,1,1018.0,1.5,0.51
193,Irvine,City,Orange,california,33.6845673,-117.8265049,3.12,54,Moderate air quality,pm25,2018-12-01 06:06:27+00,17.11,1,1016.0,0.83,0.0
194,Irwindale,City,Los Angeles,california,34.1069527,-117.9353413,3.02,60,Moderate air quality,pm25,2018-12-01 06:06:27+00,17.18,1,1016.0,1.46,0.0
195,Isleton,City,Sacramento,california,38.1618614,-121.6116206,1.94,54,Moderate air quality,pm25,2018-12-01 06:06:27+00,13.85,1,1019.0,2.1,1.53
196,Jackson,City,Amador,california,38.3488023,-120.7741018,1.97,42,Good air quality,pm25,2018-12-01 06:06:27+00,10.09,1,1018.0,1.5,0.51
197,Jurupa Valley,City,Riverside,california,33.9971974,-117.4854802,3.08,72,Moderate air quality,pm25,2018-12-01 06:06:27+00,17.01,1,1016.0,0.53,0.0
198,Kerman,City,Fresno,california,36.7235572,-120.059879,2.39,72,Moderate air quality,pm25,2018-12-01 06:06:27+00,11.74,1,1018.0,3.91,0.0
199,King City,City,Monterey,california,36.2127439,-121.1260287,2.53,55,Moderate air quality,pm25,2018-12-01 06:06:27+00,11.7,1,1020.0,2.23,0.51
200,Kingsburg,City,Fresno,california,36.5138398,-119.5540175,2.44,82,Moderate air quality,pm25,2018-12-01 06:06:27+00,11.89,1,1018.0,1.91,0.0
201,La Ca̱ada Flintridge,City,Los Angeles,california,34.2068182,-118.2000277,3.0,64,Moderate air quality,pm25,2018-12-01 06:06:27+00,17.05,1,1015.0,2.1,0.0
202,La Habra,City,Orange,california,33.9318591,-117.946137,3.04,62,Moderate air quality,pm25,2018-12-01 06:06:27+00,17.18,1,1015.0,1.46,0.0
203,La Habra Heights,City,Los Angeles,california,33.9608461,-117.9506186,3.04,56,Moderate air quality,pm25,2018-12-01 06:06:27+00,17.18,1,1015.0,1.46,0.0
204,La Mesa,City,San Diego,california,32.7678287,-117.0230839,3.4,73,Moderate air quality,pm25,2018-12-01 06:06:27+00,17.38,40,1016.0,2.6,0.0
205,La Mirada,City,Los Angeles,california,33.9172357,-118.0120086,3.05,60,Moderate air quality,pm25,2018-12-01 06:06:27+00,17.18,1,1015.0,1.46,0.0
206,La Palma,City,Orange,california,33.8463218,-118.0461393,3.05,53,Moderate air quality,pm25,2018-12-01 06:06:27+00,17.36,20,1015.0,5.33,0.0
207,La Puente,City,Los Angeles,california,34.0200114,-117.9495083,3.02,59,Moderate air quality,pm25,2018-12-01 06:06:27+00,17.18,1,1015.0,1.46,0.0
208,La Quinta,City,Riverside,california,33.6633573,-116.3100095,3.24,38,Good air quality,o3,2018-12-01 06:06:27+00,20.0,40,1014.0,3.6,0.0
209,La Verne,City,Los Angeles,california,34.1008426,-117.7678355,3.02,61,Moderate air quality,pm25,2018-12-01 06:06:27+00,17.19,1,1016.0,0.53,0.0
210,Lafayette,City,Contra Costa,california,37.8857582,-122.1180201,2.0,48,Good air quality,pm25,2018-12-01 06:06:27+00,14.34,1,1020.0,2.1,1.02
211,Laguna Beach,City,Orange,california,33.5427189,-117.7853568,3.12,61,Moderate air quality,pm25,2018-12-01 06:06:27+00,17.08,1,1016.0,0.83,0.0
212,Laguna Hills,City,Orange,california,33.5916433,-117.6986604,3.17,52,Moderate air quality,pm25,2018-12-01 06:06:27+00,17.03,1,1016.0,0.83,0.0
213,Laguna Niguel,City,Orange,california,33.5236744,-117.7149438,3.17,60,Moderate air quality,pm25,2018-12-01 06:06:27+00,17.01,1,1016.0,0.83,0.0
214,Laguna Woods,City,Orange,california,33.6101702,-117.7251162,3.17,53,Moderate air quality,pm25,2018-12-01 06:06:27+00,17.08,1,1016.0,0.83,0.0
215,Lake Elsinore,City,Riverside,california,33.6680772,-117.3272615,3.19,51,Moderate air quality,pm25,2018-12-01 06:06:27+00,16.85,1,1016.0,0.83,0.0
216,Lake Forest,City,Orange,california,33.6469437,-117.6861023,3.17,52,Moderate air quality,pm25,2018-12-01 06:06:27+00,17.08,1,1016.0,0.83,0.0
217,Lakeport,City,Lake,california,39.0429506,-122.9158293,1.78,57,Moderate air quality,pm25,2018-12-01 06:06:27+00,10.0,90,1018.0,1.5,0.25
218,Lakewood,City,Los Angeles,california,33.8536269,-118.1339563,3.05,58,Moderate air quality,pm25,2018-12-01 06:06:27+00,17.36,20,1015.0,5.33,0.0
219,Lancaster,City,Los Angeles,california,34.6867846,-118.1541632,2.97,37,Good air quality,o3,2018-12-01 06:06:27+00,13.67,1,1017.0,4.6,0.0
220,Larkspur,City,Marin,california,37.9340915,-122.5352539,1.96,26,Good air quality,pm25,2018-12-01 06:06:27+00,14.59,20,1020.0,3.1,0.51
221,Lathrop,City,San Joaquin,california,37.8227046,-121.27661,2.01,58,Moderate air quality,pm25,2018-12-01 06:06:27+00,11.32,1,1019.0,3.1,2.46
222,Lawndale,City,Los Angeles,california,33.887237,-118.3525744,3.05,64,Moderate air quality,pm25,2018-12-01 06:06:27+00,17.36,1,1015.0,2.6,0.0
223,Lemon Grove,City,San Diego,california,32.7425516,-117.0314172,3.47,74,Moderate air quality,pm25,2018-12-01 06:06:27+00,17.27,40,1016.0,2.6,0.0
224,Lemoore,City,Kings,california,36.3007835,-119.7829107,2.48,68,Moderate air quality,pm25,2018-12-01 06:06:27+00,11.81,1,1018.0,3.91,0.0
225,Lincoln,City,Placer,california,38.891565,-121.2930079,1.83,61,Moderate air quality,pm25,2018-12-01 06:06:27+00,12.36,1,1018.0,3.6,0.0
226,Lindsay,City,Tulare,california,36.2030064,-119.08816,2.58,90,Moderate air quality,pm25,2018-12-01 06:06:27+00,12.06,90,1019.0,0.88,0.0
227,Live Oak,City,Sutter,california,39.2757232,-121.6599701,1.74,62,Moderate air quality,pm25,2018-12-01 06:06:27+00,13.37,1,1017.0,3.1,0.0
228,Livermore,City,Alameda,california,37.6818745,-121.7680088,2.07,56,Moderate air quality,pm25,2018-12-01 06:06:27+00,13.75,1,1020.0,2.1,1.02
229,Livingston,City,Merced,california,37.3868826,-120.7235329,2.19,63,Moderate air quality,pm25,2018-12-01 06:06:27+00,10.32,1,1019.0,2.1,4.32
230,Lodi,City,San Joaquin,california,38.1341477,-121.2722194,1.95,67,Moderate air quality,pm25,2018-12-01 06:06:27+00,13.51,1,1019.0,3.1,2.46
231,Loma Linda,City,San Bernardino,california,34.0483474,-117.2611527,3.03,64,Moderate air quality,pm25,2018-12-01 06:06:27+00,16.49,1,1016.0,0.71,0.0
232,Lomita,City,Los Angeles,california,33.7922392,-118.3150722,3.05,39,Good air quality,pm25,2018-12-01 06:06:27+00,17.36,1,1015.0,2.6,0.0
233,Lompoc,City,Santa Barbara,california,34.6391501,-120.4579409,2.85,43,Good air quality,pm25,2018-12-01 06:06:27+00,15.59,1,1019.0,3.1,0.0
234,Long Beach,City,Los Angeles,california,33.7700504,-118.1937395,3.05,67,Moderate air quality,pm25,2018-12-01 06:06:27+00,17.36,20,1015.0,5.33,0.0
235,Loomis,Town,Placer,california,38.8212889,-121.1930041,1.87,57,Moderate air quality,pm25,2018-12-01 06:06:27+00,11.23,1,1018.0,3.6,0.0
236,Los Alamitos,City,Orange,california,33.8032009,-118.0718894,3.05,59,Moderate air quality,pm25,2018-12-01 06:06:27+00,17.36,20,1015.0,5.33,0.0
237,Los Altos,City,Santa Clara,california,37.3852183,-122.1141298,2.12,54,Moderate air quality,pm25,2018-12-01 06:06:27+00,13.69,20,1020.0,3.1,1.02
238,Los Altos Hills,Town,Santa Clara,california,37.3796627,-122.1374637,2.12,34,Good air quality,pm25,2018-12-01 06:06:27+00,13.69,20,1020.0,3.1,1.02
239,Los Angeles,City,Los Angeles,california,34.0522342,-118.2436849,3.0,76,Moderate air quality,pm25,2018-12-01 06:06:27+00,17.36,1,1015.0,1.5,0.0
240,Los Banos,City,Merced,california,37.0582786,-120.8499151,2.23,57,Moderate air quality,pm25,2018-12-01 06:06:27+00,10.88,1,1019.0,2.1,4.32
241,Los Gatos,Town,Santa Clara,california,37.2358078,-121.9623751,2.2,47,Good air quality,pm25,2018-12-01 06:06:27+00,13.39,1,1020.0,2.1,0.92
242,Loyalton,City,Sierra,california,39.6762936,-120.2410385,1.93,54,Moderate air quality,pm25,2018-12-01 06:06:27+00,3.35,1,1015.0,4.1,0.25
243,Lynwood,City,Los Angeles,california,33.930293,-118.2114603,3.05,66,Moderate air quality,pm25,2018-12-01 06:06:27+00,17.36,1,1015.0,2.6,0.0
244,Madera,City,Madera,california,36.9613356,-120.0607176,2.34,83,Moderate air quality,pm25,2018-12-01 06:06:27+00,10.34,1,1018.0,2.36,0.0
245,Malibu,City,Los Angeles,california,34.0259216,-118.7797571,3.0,40,Good air quality,pm25,2018-12-01 06:06:27+00,17.23,40,1016.0,3.6,0.0
246,Mammoth Lakes,Town,Mono,california,37.648546,-118.972079,2.52,24,Good air quality,o3,2018-12-01 06:06:27+00,0.9,1,1016.0,1.5,0.0
247,Manhattan Beach,City,Los Angeles,california,33.8847361,-118.4109089,3.05,58,Moderate air quality,pm25,2018-12-01 06:06:27+00,17.42,20,1015.0,3.1,0.0
248,Manteca,City,San Joaquin,california,37.7974273,-121.2160526,2.03,74,Moderate air quality,pm25,2018-12-01 06:06:27+00,11.33,1,1019.0,3.1,2.46
249,Maricopa,City,Kern,california,35.058858,-119.4009509,2.77,67,Moderate air quality,pm25,2018-12-01 06:06:27+00,14.4,20,1018.0,2.1,0.0
250,Marina,City,Monterey,california,36.6844029,-121.802173,2.31,52,Moderate air quality,pm25,2018-12-01 06:06:27+00,12.03,1,1020.0,3.38,0.38
251,Martinez,City,Contra Costa,california,38.0193657,-122.1341321,1.94,58,Moderate air quality,pm25,2018-12-01 06:06:27+00,14.55,1,1020.0,2.1,1.17
252,Marysville,City,Yuba,california,39.1457253,-121.5913547,1.78,65,Moderate air quality,pm25,2018-12-01 06:06:27+00,13.32,1,1017.0,3.1,0.0
253,Maywood,City,Los Angeles,california,33.9866807,-118.185349,3.05,69,Moderate air quality,pm25,2018-12-01 06:06:27+00,17.36,1,1015.0,2.6,0.0
254,McFarland,City,Kern,california,35.6780104,-119.2292748,2.67,108,Unhealthy for sensitive groups air quality,pm25,2018-12-01 06:06:27+00,13.07,75,1019.0,1.78,0.0
255,Mendota,City,Fresno,california,36.7535611,-120.3815574,2.32,71,Moderate air quality,pm25,2018-12-01 06:06:27+00,11.21,1,1018.0,3.36,0.0
256,Menifee,City,Riverside,california,33.6971468,-117.185294,3.17,36,Good air quality,o3,2018-12-01 06:06:27+00,16.52,1,1016.0,0.91,0.0
257,Menlo Park,City,San Mateo,california,37.4529598,-122.1817252,2.12,60,Moderate air quality,pm25,2018-12-01 06:06:27+00,13.69,1,1020.0,2.1,0.92
258,Merced,City,Merced,california,37.3021632,-120.4829677,2.21,63,Moderate air quality,pm25,2018-12-01 06:06:27+00,10.34,1,1019.0,2.1,4.32
259,Mill Valley,City,Marin,california,37.9060368,-122.5449763,1.96,53,Moderate air quality,pm25,2018-12-01 06:06:27+00,14.52,20,1020.0,3.1,1.17
260,Millbrae,City,San Mateo,california,37.5985468,-122.3871942,2.04,59,Moderate air quality,pm25,2018-12-01 06:06:27+00,14.15,20,1020.0,3.1,1.02
261,Milpitas,City,Santa Clara,california,37.4323341,-121.8995741,2.12,52,Moderate air quality,pm25,2018-12-01 06:06:27+00,13.54,1,1020.0,2.1,1.02
262,Mission Viejo,City,Orange,california,33.5968913,-117.6581562,3.17,53,Moderate air quality,pm25,2018-12-01 06:06:27+00,17.01,1,1016.0,0.83,0.0
263,Modesto,City,Stanislaus,california,37.6390972,-120.9968782,2.11,77,Moderate air quality,pm25,2018-12-01 06:06:27+00,10.78,1,1019.0,1.5,2.42
264,Monrovia,City,Los Angeles,california,34.1442616,-118.0019482,3.0,63,Moderate air quality,pm25,2018-12-01 06:06:27+00,17.05,1,1015.0,1.46,0.0
265,Montague,City,Siskiyou,california,41.7281985,-122.5278007,1.41,46,Good air quality,pm25,2018-12-01 06:06:27+00,5.44,75,1013.0,1.03,0.0
266,Montclair,City,San Bernardino,california,34.0775104,-117.6897776,3.06,60,Moderate air quality,pm25,2018-12-01 06:06:27+00,17.19,1,1016.0,2.1,0.0
267,Monte Sereno,City,Santa Clara,california,37.236333,-121.992458,2.2,43,Good air quality,pm25,2018-12-01 06:06:27+00,13.38,1,1020.0,2.1,1.02
268,Montebello,City,Los Angeles,california,34.0165053,-118.1137535,3.0,58,Moderate air quality,pm25,2018-12-01 06:06:27+00,17.36,20,1015.0,1.46,0.0
269,Monterey,City,Monterey,california,36.6002378,-121.8946761,2.31,60,Moderate air quality,pm25,2018-12-01 06:06:27+00,12.03,1,1020.0,4.1,0.38
270,Monterey Park,City,Los Angeles,california,34.0625106,-118.1228476,3.0,66,Moderate air quality,pm25,2018-12-01 06:06:27+00,17.36,20,1015.0,1.46,0.0
271,Moorpark,City,Ventura,california,34.285558,-118.8820414,2.95,58,Moderate air quality,pm25,2018-12-01 06:06:27+00,17.17,40,1016.0,3.6,0.0
272,Moraga,Town,Contra Costa,california,37.8349263,-122.1296871,2.0,29,Good air quality,pm25,2018-12-01 06:06:27+00,14.34,1,1020.0,2.1,1.14
273,Moreno Valley,City,Riverside,california,33.9424658,-117.2296717,3.1,64,Moderate air quality,pm25,2018-12-01 06:06:27+00,16.56,1,1016.0,0.71,0.0
274,Morgan Hill,City,Santa Clara,california,37.1305012,-121.6543901,2.2,53,Moderate air quality,pm25,2018-12-01 06:06:27+00,12.56,40,1020.0,1.5,1.22
275,Morro Bay,City,San Luis Obispo,california,35.3659445,-120.8499924,2.68,22,Good air quality,o3,2018-12-01 06:06:27+00,14.49,1,1019.0,1.93,0.0
276,Mount Shasta,City,Siskiyou,california,41.3098746,-122.3105666,1.48,37,Good air quality,pm25,2018-12-01 06:06:27+00,5.42,90,1013.0,2.6,0.0
277,Mountain View,City,Santa Clara,california,37.3860517,-122.0838511,2.12,61,Moderate air quality,pm25,2018-12-01 06:06:27+00,13.54,1,1020.0,2.1,0.92
278,Murrieta,City,Riverside,california,33.5539143,-117.2139232,3.17,39,Good air quality,o3,2018-12-01 06:06:27+00,16.72,1,1016.0,0.91,0.0
279,Napa,City,Napa,california,38.2975381,-122.286865,1.9,55,Moderate air quality,pm25,2018-12-01 06:06:27+00,14.7,1,1019.0,1.01,0.25
280,National City,City,San Diego,california,32.6781085,-117.0991967,3.47,82,Moderate air quality,pm25,2018-12-01 06:06:27+00,17.33,40,1016.0,2.6,0.0
281,Needles,City,San Bernardino,california,34.8480597,-114.6141315,2.94,63,Moderate air quality,pm25,2018-12-01 06:06:27+00,17.6,1,1013.0,1.5,0.0
282,Nevada City,City,Nevada,california,39.2615606,-121.0160594,1.82,29,Good air quality,o3,2018-12-01 06:06:27+00,10.78,1,1017.0,3.1,0.51
283,Newark,City,Alameda,california,37.5296593,-122.0402399,2.03,31,Good air quality,pm25,2018-12-01 06:06:27+00,13.69,1,1020.0,2.1,1.02
284,Newman,City,Stanislaus,california,37.3138267,-121.0207614,2.16,57,Moderate air quality,pm25,2018-12-01 06:06:27+00,11.16,1,1019.0,2.1,2.42
285,Newport Beach,City,Orange,california,33.6188829,-117.9298493,3.12,47,Good air quality,pm25,2018-12-01 06:06:27+00,17.19,20,1015.0,2.1,0.0
286,Norco,City,Riverside,california,33.9311257,-117.548661,3.08,55,Moderate air quality,pm25,2018-12-01 06:06:27+00,17.1,1,1016.0,0.53,0.0
287,Norwalk,City,Los Angeles,california,33.9022367,-118.081733,3.05,64,Moderate air quality,pm25,2018-12-01 06:06:27+00,17.36,20,1015.0,1.46,0.0
288,Novato,City,Marin,california,38.1074198,-122.5697032,1.92,57,Moderate air quality,pm25,2018-12-01 06:06:27+00,14.7,1,1019.0,2.1,0.51
289,Oakdale,City,Stanislaus,california,37.7665947,-120.8471545,2.05,71,Moderate air quality,pm25,2018-12-01 06:06:27+00,10.28,1,1019.0,2.1,2.42
290,Oakland,City,Alameda,california,37.8043637,-122.2711137,1.97,67,Moderate air quality,pm25,2018-12-01 06:06:27+00,14.34,1,1020.0,2.1,1.14
291,Oakley,City,Contra Costa,california,37.9974219,-121.7124536,2.01,61,Moderate air quality,pm25,2018-12-01 06:06:27+00,14.25,1,1019.0,3.1,0.89
292,Oceanside,City,San Diego,california,33.1958696,-117.3794834,3.32,59,Moderate air quality,pm25,2018-12-01 06:06:27+00,17.45,1,1016.0,5.18,0.0
293,Ojai,City,Ventura,california,34.4480495,-119.242889,2.95,53,Moderate air quality,pm25,2018-12-01 06:06:27+00,17.58,1,1016.0,5.96,0.0
294,Ontario,City,San Bernardino,california,34.0633443,-117.6508876,3.06,59,Moderate air quality,pm25,2018-12-01 06:06:27+00,17.21,1,1016.0,2.1,0.0
295,Orange,City,Orange,california,33.7879139,-117.8531007,3.04,61,Moderate air quality,pm25,2018-12-01 06:06:27+00,17.2,20,1015.0,0.83,0.0
296,Orange Cove,City,Fresno,california,36.624394,-119.3137301,2.46,79,Moderate air quality,pm25,2018-12-01 06:06:27+00,11.9,1,1019.0,1.91,0.0
297,Orinda,City,Contra Costa,california,37.8771476,-122.1796888,2.0,51,Moderate air quality,pm25,2018-12-01 06:06:27+00,14.34,1,1020.0,2.1,1.14
298,Orland,City,Glenn,california,39.7473803,-122.1963748,1.69,34,Good air quality,pm25,2018-12-01 06:06:27+00,13.37,90,1017.0,1.5,0.0
299,Oroville,City,Butte,california,39.5137752,-121.556359,1.72,45,Good air quality,pm25,2018-12-01 06:06:27+00,12.01,1,1017.0,3.1,0.51
300,Oxnard,City,Ventura,california,34.1975048,-119.1770516,2.96,61,Moderate air quality,pm25,2018-12-01 06:06:27+00,17.6,40,1016.0,3.6,0.0
301,Pacific Grove,City,Monterey,california,36.6177374,-121.9166215,2.31,45,Good air quality,pm25,2018-12-01 06:06:27+00,12.03,1,1020.0,4.1,0.38
302,Pacifica,City,San Mateo,california,37.6138253,-122.4869194,2.04,39,Good air quality,pm25,2018-12-01 06:06:27+00,14.15,20,1020.0,3.1,1.14
303,Palm Desert,City,Riverside,california,33.7222445,-116.3744556,3.24,55,Moderate air quality,pm25,2018-12-01 06:06:27+00,17.54,40,1014.0,3.6,0.0
304,Palm Springs,City,Riverside,california,33.8302961,-116.5452921,3.17,49,Good air quality,pm25,2018-12-01 06:06:27+00,16.61,1,1016.0,1.11,0.0
305,Palmdale,City,Los Angeles,california,34.5794343,-118.1164613,2.97,47,Good air quality,pm25,2018-12-01 06:06:27+00,14.27,1,1016.0,5.1,0.0
306,Palo Alto,City,Santa Clara,california,37.4418834,-122.1430195,2.12,57,Moderate air quality,pm25,2018-12-01 06:06:27+00,13.69,1,1020.0,2.1,1.02
307,Palos Verdes Estates,City,Los Angeles,california,33.8005714,-118.3900737,3.05,45,Good air quality,pm25,2018-12-01 06:06:27+00,17.42,1,1015.0,2.6,0.0
308,Paradise,Town,Butte,california,39.7596061,-121.6219177,1.74,30,Good air quality,pm25,2018-12-01 06:06:27+00,13.29,20,1018.0,2.6,0.0
309,Paramount,City,Los Angeles,california,33.8894598,-118.1597911,3.05,39,Good air quality,pm25,2018-12-01 06:06:27+00,17.36,20,1015.0,5.33,0.0
310,Parlier,City,Fresno,california,36.6116174,-119.5270734,2.44,76,Moderate air quality,pm25,2018-12-01 06:06:27+00,11.73,1,1018.0,1.91,0.0
311,Pasadena,City,Los Angeles,california,34.1477849,-118.1445155,3.0,66,Moderate air quality,pm25,2018-12-01 06:06:27+00,17.05,1,1015.0,2.1,0.0
312,Paso Robles,City,San Luis Obispo,california,35.6368759,-120.6545022,2.66,25,Good air quality,o3,2018-12-01 06:06:27+00,13.4,1,1019.0,4.6,0.0
313,Patterson,City,Stanislaus,california,37.4716001,-121.129656,2.16,62,Moderate air quality,pm25,2018-12-01 06:06:27+00,11.85,1,1019.0,2.1,2.46
314,Perris,City,Riverside,california,33.7825194,-117.2286478,3.1,62,Moderate air quality,pm25,2018-12-01 06:06:27+00,16.51,1,1016.0,0.91,0.0
315,Petaluma,City,Sonoma,california,38.232417,-122.6366524,1.92,57,Moderate air quality,pm25,2018-12-01 06:06:27+00,14.81,1,1019.0,1.01,0.25
316,Pico Rivera,City,Los Angeles,california,33.9830688,-118.096735,3.05,60,Moderate air quality,pm25,2018-12-01 06:06:27+00,17.58,20,1015.0,1.46,0.0
317,Piedmont,City,Alameda,california,37.8243715,-122.231635,2.0,31,Good air quality,pm25,2018-12-01 06:06:27+00,14.2,1,1020.0,2.1,1.14
318,Pinole,City,Contra Costa,california,38.0043667,-122.2988587,1.92,55,Moderate air quality,pm25,2018-12-01 06:06:27+00,14.6,1,1020.0,2.1,1.02
319,Pismo Beach,City,San Luis Obispo,california,35.1427533,-120.6412827,2.74,44,Good air quality,pm25,2018-12-01 06:06:27+00,14.65,1,1019.0,1.93,0.0
320,Pittsburg,City,Contra Costa,california,38.0279762,-121.8846806,1.93,61,Moderate air quality,pm25,2018-12-01 06:06:27+00,14.27,1,1020.0,2.1,1.06
321,Placentia,City,Orange,california,33.8710729,-117.8627548,3.04,59,Moderate air quality,pm25,2018-12-01 06:06:27+00,17.18,1,1015.0,0.83,0.0
322,Placerville,City,El Dorado,california,38.7296252,-120.798546,1.94,38,Good air quality,pm25,2018-12-01 06:06:27+00,9.82,1,1018.0,3.6,0.51
323,Pleasant Hill,City,Contra Costa,california,37.9479786,-122.0607963,2.0,56,Moderate air quality,pm25,2018-12-01 06:06:27+00,14.55,1,1020.0,2.1,1.14
324,Pleasanton,City,Alameda,california,37.6624312,-121.8746789,2.07,52,Moderate air quality,pm25,2018-12-01 06:06:27+00,13.61,1,1020.0,2.1,1.05
325,Plymouth,City,Amador,california,38.4818531,-120.844659,1.97,34,Good air quality,pm25,2018-12-01 06:06:27+00,10.51,1,1018.0,3.6,0.0
326,Point Arena,City,Mendocino,california,38.908798,-123.6930726,1.78,36,Good air quality,pm25,2018-12-01 06:06:27+00,10.0,90,1018.0,1.5,0.0
327,Pomona,City,Los Angeles,california,34.055103,-117.7499909,3.06,65,Moderate air quality,pm25,2018-12-01 06:06:27+00,17.19,1,1016.0,0.53,0.0
328,Port Hueneme,City,Ventura,california,34.1477829,-119.1951074,2.96,55,Moderate air quality,pm25,2018-12-01 06:06:27+00,17.6,40,1016.0,3.6,0.0
329,Porterville,City,Tulare,california,36.06523,-119.0167679,2.58,115,Unhealthy for sensitive groups air quality,pm25,2018-12-01 06:06:27+00,12.33,90,1019.0,0.88,0.0
330,Portola,City,Plumas,california,39.8104567,-120.4691034,1.86,71,Moderate air quality,pm25,2018-12-01 06:06:27+00,4.38,1,1015.0,4.1,0.25
331,Portola Valley,Town,San Mateo,california,37.3841066,-122.2352443,2.12,35,Good air quality,pm25,2018-12-01 06:06:27+00,13.58,1,1020.0,2.1,1.02
332,Poway,City,San Diego,california,32.9628232,-117.0358646,3.4,39,Good air quality,pm25,2018-12-01 06:06:27+00,17.15,40,1016.0,2.6,0.0
333,Rancho Cordova,City,Sacramento,california,38.5890723,-121.302728,1.87,55,Moderate air quality,pm25,2018-12-01 06:06:27+00,13.01,1,1019.0,2.6,0.0
334,Rancho Cucamonga,City,San Bernardino,california,34.1063989,-117.5931084,3.06,51,Moderate air quality,pm25,2018-12-01 06:06:27+00,17.24,1,1016.0,2.1,0.0
