city,county,state,lat,lng,UV_value
Danville,Contra Costa,california,37.8215929,-121.9999606,2.02
Davis,Yolo,california,38.5449065,-121.7405167,1.86
Del Mar,San Diego,california,32.9594891,-117.2653146,3.42
Del Rey Oaks,Monterey,california,36.5932934,-121.8349515,2.31
Delano,Kern,california,35.7688425,-119.2470536,2.62
Desert Hot Springs,Riverside,california,33.961124,-116.5016784,3.17
Diamond Bar,Los Angeles,california,34.0286226,-117.8103367,3.02
Dinuba,Tulare,california,36.5432837,-119.3870656,2.46
Dixon,Solano,california,38.4454641,-121.8232958,1.89
Dorris,Siskiyou,california,41.9673696,-121.91806,1.41
Dos Palos,Merced,california,36.9860582,-120.6265722,2.3
Downey,Los Angeles,california,33.9401088,-118.1331593,3.05
Duarte,Los Angeles,california,34.1394513,-117.9772873,3.02
Dublin,Alameda,california,37.7021521,-121.9357918,2.07
Dunsmuir,Siskiyou,california,41.2082089,-122.2719529,1.52
East Palo Alto,San Mateo,california,37.4688273,-122.1410751,2.12
Eastvale,Riverside,california,33.952463,-117.5848025,3.08
El Cajon,San Diego,california,32.7947731,-116.9625269,3.46
El Centro,Imperial,california,32.792,-115.5630514,3.39
El Cerrito,Contra Costa,california,37.9161326,-122.310765,1.97
El Monte,Los Angeles,california,34.0686206,-118.0275667,3
El Segundo,Los Angeles,california,33.9191799,-118.4164652,3.05
Elk Grove,Sacramento,california,38.4087993,-121.3716178,1.91
Emeryville,Alameda,california,37.831316,-122.2852473,1.97
Encinitas,San Diego,california,33.0369867,-117.2919818,3.32
Escalon,San Joaquin,california,37.7974273,-120.9966033,2.05
Escondido,San Diego,california,33.1192068,-117.086421,3.33
Etna,Siskiyou,california,41.4568065,-122.8947551,1.47
Eureka,Humboldt,california,40.8020712,-124.1636729,1.46
Exeter,Tulare,california,36.2960613,-119.1420517,2.53
Fairfax,Marin,california,37.9871454,-122.5888686,1.96
Fairfield,Solano,california,38.2493581,-122.0399663,1.94
Farmersville,Tulare,california,36.2977283,-119.2067767,2.53
Ferndale,Humboldt,california,40.5762406,-124.2639441,1.48
Fillmore,Ventura,california,34.3991639,-118.918154,2.95
Firebaugh,Fresno,california,36.8588376,-120.4560072,2.32
Folsom,Sacramento,california,38.6779591,-121.1760583,1.89
Fontana,San Bernardino,california,34.0922335,-117.435048,3.03
Fort Bragg,Mendocino,california,39.445723,-123.8052935,1.69
Fort Jones,Siskiyou,california,41.6076387,-122.8403099,1.41
Fortuna,Humboldt,california,40.5981867,-124.1572756,1.5
Foster City,San Mateo,california,37.5585465,-122.2710788,2.04
Fountain Valley,Orange,california,33.7090212,-117.9544069,3.12
Fowler,Fresno,california,36.6305058,-119.6784697,2.44
Fremont,Alameda,california,37.5482697,-121.9885719,2.07
Fresno,Fresno,california,36.7377981,-119.7871247,2.43
Fullerton,Orange,california,33.8703645,-117.9242123,3.04
Galt,Sacramento,california,38.2546373,-121.2999485,1.91
Garden Grove,Orange,california,33.7742692,-117.9379952,3.04
Gardena,Los Angeles,california,33.8883487,-118.3089624,3.05
Gilroy,Santa Clara,california,37.0057816,-121.5682751,2.2
